time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2021-07-01T02:15:00+02:00;15560;15589;15560;15587;NaN;NaN;NaN;182;NaN
2021-07-01T02:30:00+02:00;15586;15593;15575;15580;NaN;NaN;NaN;90;NaN
2021-07-01T02:45:00+02:00;15583;15585;15575;15579;NaN;NaN;NaN;58;NaN
2021-07-01T03:00:00+02:00;15579;15584;15576;15581;NaN;NaN;NaN;80;NaN
2021-07-01T03:15:00+02:00;15581;15583;15575;15576;NaN;NaN;NaN;71;NaN
2021-07-01T03:30:00+02:00;15577;15578;15562;15569;NaN;NaN;NaN;145;NaN
2021-07-01T03:45:00+02:00;15568;15571;15560;15571;NaN;NaN;NaN;45;NaN
2021-07-01T04:00:00+02:00;15570;15574;15567;15569;NaN;NaN;NaN;28;NaN
2021-07-01T04:15:00+02:00;15569;15573;15569;15572;NaN;NaN;NaN;36;NaN
2021-07-01T04:30:00+02:00;15571;15576;15567;15576;NaN;NaN;NaN;52;NaN
2021-07-01T04:45:00+02:00;15577;15579;15574;15574;NaN;NaN;NaN;25;NaN
2021-07-01T05:00:00+02:00;15574;15574;15567;15571;NaN;NaN;NaN;33;NaN
2021-07-01T05:15:00+02:00;15573;15575;15571;15573;NaN;NaN;NaN;14;NaN
2021-07-01T05:30:00+02:00;15573;15581;15573;15578;NaN;NaN;NaN;38;NaN
2021-07-01T05:45:00+02:00;15577;15580;15575;15578;NaN;NaN;NaN;17;NaN
2021-07-01T06:00:00+02:00;15581;15585;15580;15584;NaN;NaN;NaN;39;NaN
2021-07-01T06:15:00+02:00;15584;15585;15582;15585;NaN;NaN;NaN;27;NaN
2021-07-01T06:30:00+02:00;15585;15588;15579;15586;NaN;NaN;NaN;52;NaN
2021-07-01T06:45:00+02:00;15587;15587;15577;15580;NaN;NaN;NaN;53;NaN
2021-07-01T07:00:00+02:00;15580;15585;15580;15583;NaN;NaN;NaN;40;56.25
2021-07-01T07:15:00+02:00;15583;15583;15579;15582;NaN;NaN;NaN;34;48.85
2021-07-01T07:30:00+02:00;15582;15585;15580;15584;NaN;NaN;NaN;42;46.45
2021-07-01T07:45:00+02:00;15582;15584;15578;15581;NaN;NaN;NaN;84;47.75
2021-07-01T08:00:00+02:00;15580;15594;15567;15590;NaN;NaN;NaN;839;85.7
2021-07-01T08:15:00+02:00;15592;15593;15582;15589;NaN;NaN;NaN;456;104.95
2021-07-01T08:30:00+02:00;15590;15598;15585;15588;NaN;NaN;NaN;340;114.7
2021-07-01T08:45:00+02:00;15588;15602;15585;15596;NaN;NaN;NaN;577;141.3
2021-07-01T09:00:00+02:00;15597;15633;15590;15631;NaN;NaN;NaN;5202;400
2021-07-01T09:15:00+02:00;15632;15668;15628;15656;NaN;NaN;NaN;4502;623.3
2021-07-01T09:30:00+02:00;15658;15692;15657;15676;NaN;NaN;NaN;3396;790.5
2021-07-01T09:45:00+02:00;15676;15691;15662;15669;NaN;NaN;NaN;2580;918.25
2021-07-01T10:00:00+02:00;15670;15693;15666;15670;NaN;NaN;NaN;2071;1020.15
2021-07-01T10:15:00+02:00;15671;15686;15666;15680;NaN;NaN;NaN;1676;1103.25
2021-07-01T10:30:00+02:00;15681;15689;15667;15672;NaN;NaN;NaN;1572;1179.95
2021-07-01T10:45:00+02:00;15673;15680;15653;15654;NaN;NaN;NaN;1352;1246.7
2021-07-01T11:00:00+02:00;15655;15664;15628;15632;NaN;NaN;NaN;2040;1346.75
2021-07-01T11:15:00+02:00;15630;15635;15615;15634;NaN;NaN;NaN;1640;1427.4
2021-07-01T11:30:00+02:00;15634;15635;15590;15598;NaN;NaN;NaN;1619;1505.75
2021-07-01T11:45:00+02:00;15597;15617;15590;15610;NaN;NaN;NaN;1757;1590.95
2021-07-01T12:00:00+02:00;15609;15613;15588;15608;NaN;NaN;NaN;1484;1663.15
2021-07-01T12:15:00+02:00;15607;15611;15543;15549;NaN;NaN;NaN;2615;1792.2
2021-07-01T12:30:00+02:00;15549;15549;15511;15517;NaN;NaN;NaN;3142;1947.2
2021-07-01T12:45:00+02:00;15516;15534;15490;15504;NaN;NaN;NaN;2374;2061.7
2021-07-01T13:00:00+02:00;15505;15505;15473;15477;NaN;NaN;NaN;2453;2142.4
2021-07-01T13:15:00+02:00;15477;15518;15473;15517;NaN;NaN;NaN;2749;2257.05
2021-07-01T13:30:00+02:00;15516;15557;15502;15555;NaN;NaN;NaN;3064;2393.25
2021-07-01T13:45:00+02:00;15554;15580;15548;15577;NaN;NaN;NaN;1702;2449.5
2021-07-01T14:00:00+02:00;15577;15588;15562;15566;NaN;NaN;NaN;1692;2274
2021-07-01T14:15:00+02:00;15566;15569;15534;15534;NaN;NaN;NaN;1219;2109.85
2021-07-01T14:30:00+02:00;15534;15554;15526;15532;NaN;NaN;NaN;1261;2003.1
2021-07-01T14:45:00+02:00;15531;15540;15520;15536;NaN;NaN;NaN;1052;1926.7
2021-07-01T15:00:00+02:00;15537;15558;15533;15556;NaN;NaN;NaN;875;1866.9
2021-07-01T15:15:00+02:00;15555;15565;15551;15562;NaN;NaN;NaN;726;1819.4
2021-07-01T15:30:00+02:00;15562;15579;15534;15551;NaN;NaN;NaN;2139;1847.75
2021-07-01T15:45:00+02:00;15548;15562;15540;15558;NaN;NaN;NaN;834;1821.85
2021-07-01T16:00:00+02:00;15557;15607;15550;15603;NaN;NaN;NaN;2128;1826.25
2021-07-01T16:15:00+02:00;15604;15613;15562;15564;NaN;NaN;NaN;2162;1852.35
2021-07-01T16:30:00+02:00;15564;15595;15558;15594;NaN;NaN;NaN;1363;1839.55
2021-07-01T16:45:00+02:00;15594;15602;15575;15589;NaN;NaN;NaN;1549;1829.15
2021-07-01T17:00:00+02:00;15589;15593;15565;15568;NaN;NaN;NaN;1294;1819.65
2021-07-01T17:15:00+02:00;15568;15586;15545;15585;NaN;NaN;NaN;2756;1826.7
2021-07-01T17:30:00+02:00;15585;15590;15575;15579;NaN;NaN;NaN;1883;1763.75
2021-07-01T17:45:00+02:00;15578;15579;15570;15570;NaN;NaN;NaN;540;1672.05
2021-07-01T18:00:00+02:00;15571;15577;15563;15564;NaN;NaN;NaN;324;1565.6
2021-07-01T18:15:00+02:00;15565;15574;15565;15574;NaN;NaN;NaN;302;1443.25
2021-07-01T18:30:00+02:00;15574;15578;15570;15573;NaN;NaN;NaN;138;1296.95
2021-07-01T18:45:00+02:00;15572;15583;15569;15577;NaN;NaN;NaN;296;1226.65
2021-07-01T19:00:00+02:00;15577;15582;15569;15581;NaN;NaN;NaN;216;1152.85
2021-07-01T19:15:00+02:00;15582;15584;15578;15579;NaN;NaN;NaN;93;1096.55
2021-07-01T19:30:00+02:00;15579;15594;15578;15590;NaN;NaN;NaN;248;1045.9
2021-07-01T19:45:00+02:00;15590;15594;15575;15578;NaN;NaN;NaN;199;1003.25
2021-07-01T20:00:00+02:00;15577;15581;15575;15580;NaN;NaN;NaN;109;964.95
2021-07-01T20:15:00+02:00;15579;15596;15578;15596;NaN;NaN;NaN;188;938.05
2021-07-01T20:30:00+02:00;15595;15604;15594;15602;NaN;NaN;NaN;296;845.9
2021-07-01T20:45:00+02:00;15602;15611;15600;15611;NaN;NaN;NaN;236;816
2021-07-01T21:00:00+02:00;15610;15612;15599;15602;NaN;NaN;NaN;222;720.7
2021-07-01T21:15:00+02:00;15602;15606;15601;15605;NaN;NaN;NaN;268;626
2021-07-01T21:30:00+02:00;15606;15614;15601;15603;NaN;NaN;NaN;216;568.65
2021-07-01T21:45:00+02:00;15603;15620;15597;15616;NaN;NaN;NaN;1003;541.35
2021-07-01T22:00:00+02:00;15606;15606;15606;15606;NaN;NaN;NaN;31;478.2
2021-07-02T02:15:00+02:00;15615;15620;15610;15617;NaN;NaN;NaN;166;348.7
2021-07-02T02:30:00+02:00;15617;15623;15614;15619;NaN;NaN;NaN;50;257.05
2021-07-02T02:45:00+02:00;15621;15635;15621;15632;NaN;NaN;NaN;83;234.2
2021-07-02T03:00:00+02:00;15633;15634;15624;15630;NaN;NaN;NaN;62;221.1
2021-07-02T03:15:00+02:00;15631;15633;15623;15623;NaN;NaN;NaN;49;208.45
2021-07-02T03:30:00+02:00;15624;15624;15614;15616;NaN;NaN;NaN;75;205.3
2021-07-02T03:45:00+02:00;15616;15623;15616;15619;NaN;NaN;NaN;34;192.2
2021-07-02T04:00:00+02:00;15619;15626;15615;15623;NaN;NaN;NaN;29;182.85
2021-07-02T04:15:00+02:00;15622;15623;15621;15621;NaN;NaN;NaN;12;178.8
2021-07-02T04:30:00+02:00;15620;15629;15619;15628;NaN;NaN;NaN;38;168.3
2021-07-02T04:45:00+02:00;15628;15629;15620;15621;NaN;NaN;NaN;29;159.8
2021-07-02T05:00:00+02:00;15621;15622;15616;15622;NaN;NaN;NaN;94;159.05
2021-07-02T05:15:00+02:00;15621;15627;15621;15623;NaN;NaN;NaN;42;151.75
2021-07-02T05:30:00+02:00;15622;15622;15615;15617;NaN;NaN;NaN;28;138.35
2021-07-02T05:45:00+02:00;15617;15618;15608;15612;NaN;NaN;NaN;57;129.4
2021-07-02T06:00:00+02:00;15613;15616;15612;15615;NaN;NaN;NaN;51;120.85
2021-07-02T06:15:00+02:00;15616;15617;15613;15613;NaN;NaN;NaN;24;108.65
2021-07-02T06:30:00+02:00;15613;15615;15612;15614;NaN;NaN;NaN;13;98.5
2021-07-02T06:45:00+02:00;15613;15614;15610;15611;NaN;NaN;NaN;46;50.65
2021-07-02T07:00:00+02:00;15612;15614;15603;15607;NaN;NaN;NaN;122;55.2
2021-07-02T07:15:00+02:00;15607;15610;15603;15608;NaN;NaN;NaN;86;51.2
2021-07-02T07:30:00+02:00;15609;15611;15606;15611;NaN;NaN;NaN;40;50.7
2021-07-02T07:45:00+02:00;15610;15614;15603;15606;NaN;NaN;NaN;108;51.95
2021-07-02T08:00:00+02:00;15607;15614;15596;15599;NaN;NaN;NaN;530;75.35
2021-07-02T08:15:00+02:00;15600;15601;15586;15594;NaN;NaN;NaN;348;90.3
2021-07-02T08:30:00+02:00;15594;15595;15586;15588;NaN;NaN;NaN;300;101.55
2021-07-02T08:45:00+02:00;15588;15613;15583;15609;NaN;NaN;NaN;665;133.1
2021-07-02T09:00:00+02:00;15610;15659;15596;15635;NaN;NaN;NaN;5458;404.55
2021-07-02T09:15:00+02:00;15634;15674;15625;15673;NaN;NaN;NaN;2701;539
2021-07-02T09:30:00+02:00;15673;15682;15661;15669;NaN;NaN;NaN;2756;674.9
2021-07-02T09:45:00+02:00;15670;15675;15652;15667;NaN;NaN;NaN;1666;756.75
2021-07-02T10:00:00+02:00;15668;15678;15640;15640;NaN;NaN;NaN;1594;831.75
2021-07-02T10:15:00+02:00;15640;15640;15608;15631;NaN;NaN;NaN;2014;930.35
2021-07-02T10:30:00+02:00;15630;15635;15611;15619;NaN;NaN;NaN;1039;980.9
2021-07-02T10:45:00+02:00;15617;15621;15606;15611;NaN;NaN;NaN;890;1022.55
2021-07-02T11:00:00+02:00;15610;15620;15603;15619;NaN;NaN;NaN;821;1061.05
2021-07-02T11:15:00+02:00;15619;15643;15615;15625;NaN;NaN;NaN;1322;1125.95
2021-07-02T11:30:00+02:00;15624;15645;15621;15643;NaN;NaN;NaN;896;1170.1
2021-07-02T11:45:00+02:00;15643;15663;15642;15643;NaN;NaN;NaN;1619;1248.75
2021-07-02T12:00:00+02:00;15645;15673;15645;15668;NaN;NaN;NaN;1282;1306.75
2021-07-02T12:15:00+02:00;15668;15671;15652;15655;NaN;NaN;NaN;687;1336.8
2021-07-02T12:30:00+02:00;15654;15657;15639;15649;NaN;NaN;NaN;784;1374
2021-07-02T12:45:00+02:00;15648;15655;15636;15651;NaN;NaN;NaN;528;1395
2021-07-02T13:00:00+02:00;15650;15656;15637;15643;NaN;NaN;NaN;897;1413.35
2021-07-02T13:15:00+02:00;15644;15650;15637;15645;NaN;NaN;NaN;380;1414.95
2021-07-02T13:30:00+02:00;15646;15657;15645;15651;NaN;NaN;NaN;313;1415.6
2021-07-02T13:45:00+02:00;15651;15651;15641;15648;NaN;NaN;NaN;432;1403.95
2021-07-02T14:00:00+02:00;15647;15654;15638;15639;NaN;NaN;NaN;428;1152.45
2021-07-02T14:15:00+02:00;15639;15657;15639;15654;NaN;NaN;NaN;546;1044.7
2021-07-02T14:30:00+02:00;15652;15694;15652;15677;NaN;NaN;NaN;2889;1051.35
2021-07-02T14:45:00+02:00;15678;15686;15656;15656;NaN;NaN;NaN;1144;1025.25
2021-07-02T15:00:00+02:00;15656;15661;15632;15638;NaN;NaN;NaN;1489;1020
2021-07-02T15:15:00+02:00;15638;15653;15632;15646;NaN;NaN;NaN;1253;981.95
2021-07-02T15:30:00+02:00;15647;15650;15610;15620;NaN;NaN;NaN;1761;1018.05
2021-07-02T15:45:00+02:00;15619;15630;15610;15613;NaN;NaN;NaN;1441;1045.6
2021-07-02T16:00:00+02:00;15613;15620;15600;15603;NaN;NaN;NaN;1153;1062.2
2021-07-02T16:15:00+02:00;15603;15628;15597;15621;NaN;NaN;NaN;1316;1061.9
2021-07-02T16:30:00+02:00;15619;15624;15611;15615;NaN;NaN;NaN;805;1057.35
2021-07-02T16:45:00+02:00;15615;15630;15613;15624;NaN;NaN;NaN;769;1014.85
2021-07-02T17:00:00+02:00;15624;15626;15614;15619;NaN;NaN;NaN;671;984.3
2021-07-02T17:15:00+02:00;15619;15624;15602;15622;NaN;NaN;NaN;1875;1043.7
2021-07-02T17:30:00+02:00;15623;15642;15616;15641;NaN;NaN;NaN;1818;1095.4
2021-07-02T17:45:00+02:00;15641;15646;15637;15643;NaN;NaN;NaN;352;1086.6
2021-07-02T18:00:00+02:00;15642;15643;15635;15638;NaN;NaN;NaN;376;1060.55
2021-07-02T18:15:00+02:00;15637;15643;15636;15641;NaN;NaN;NaN;189;1051
2021-07-02T18:30:00+02:00;15640;15650;15640;15649;NaN;NaN;NaN;231;1046.9
2021-07-02T18:45:00+02:00;15649;15651;15647;15650;NaN;NaN;NaN;104;1030.5
2021-07-02T19:00:00+02:00;15649;15654;15648;15652;NaN;NaN;NaN;265;1022.35
2021-07-02T19:15:00+02:00;15652;15652;15643;15643;NaN;NaN;NaN;122;1001.15
2021-07-02T19:30:00+02:00;15643;15644;15638;15644;NaN;NaN;NaN;177;865.55
2021-07-02T19:45:00+02:00;15643;15643;15636;15637;NaN;NaN;NaN;114;814.05
2021-07-02T20:00:00+02:00;15639;15646;15639;15645;NaN;NaN;NaN;102;744.7
2021-07-02T20:15:00+02:00;15644;15648;15643;15646;NaN;NaN;NaN;91;686.6
2021-07-02T20:30:00+02:00;15646;15647;15640;15641;NaN;NaN;NaN;117;604.4
2021-07-02T20:45:00+02:00;15641;15643;15639;15639;NaN;NaN;NaN;157;540.2
2021-07-02T21:00:00+02:00;15640;15644;15638;15641;NaN;NaN;NaN;144;489.75
2021-07-02T21:15:00+02:00;15642;15645;15641;15645;NaN;NaN;NaN;169;432.4
2021-07-02T21:30:00+02:00;15645;15648;15640;15646;NaN;NaN;NaN;210;402.65
