time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;74.1;74.9;73.9;74;NaN;NaN;NaN;8889;NaN
2020-10-01T09:15:00+02:00;73.7;74.4;73.7;74.1;NaN;NaN;NaN;791;NaN
2020-10-01T09:30:00+02:00;74.5;74.6;73.8;73.9;NaN;NaN;NaN;5959;NaN
2020-10-01T09:45:00+02:00;73.9;73.9;73.6;73.8;NaN;NaN;NaN;1617;NaN
2020-10-01T10:00:00+02:00;73.7;73.9;73.7;73.9;NaN;NaN;NaN;277;NaN
2020-10-01T10:15:00+02:00;73.8;73.9;73.8;73.9;NaN;NaN;NaN;112;NaN
2020-10-01T10:30:00+02:00;73.6;73.6;73.4;73.5;NaN;NaN;NaN;3889;NaN
2020-10-01T10:45:00+02:00;73.3;73.7;73.3;73.5;NaN;NaN;NaN;3421;NaN
2020-10-01T11:00:00+02:00;73.2;73.5;73.2;73.3;NaN;NaN;NaN;399;NaN
2020-10-01T11:15:00+02:00;73.3;73.8;73.3;73.8;NaN;NaN;NaN;3041;NaN
2020-10-01T11:30:00+02:00;74;74.3;74;74.3;NaN;NaN;NaN;3035;NaN
2020-10-01T11:45:00+02:00;74.4;74.4;74.4;74.4;NaN;NaN;NaN;14;NaN
2020-10-01T12:00:00+02:00;74.4;74.4;74;74;NaN;NaN;NaN;672;NaN
2020-10-01T12:15:00+02:00;74;74;74;74;NaN;NaN;NaN;269;NaN
2020-10-01T12:30:00+02:00;73.9;74.3;73.9;74.3;NaN;NaN;NaN;153;NaN
2020-10-01T12:45:00+02:00;73.9;74.2;73.9;74.2;NaN;NaN;NaN;291;NaN
2020-10-01T13:00:00+02:00;73.9;74.2;73.9;74.2;NaN;NaN;NaN;690;NaN
2020-10-01T13:15:00+02:00;74.2;74.2;74.2;74.2;NaN;NaN;NaN;32432;NaN
2020-10-01T13:30:00+02:00;74.4;74.8;74.4;74.5;NaN;NaN;NaN;2504;NaN
2020-10-01T14:00:00+02:00;74.4;74.6;74.1;74.2;NaN;NaN;NaN;2786;3562.05
2020-10-01T14:15:00+02:00;73.9;74.3;73.9;74.2;NaN;NaN;NaN;1058;3170.5
2020-10-01T14:30:00+02:00;74;74;74;74;NaN;NaN;NaN;1010;3181.45
2020-10-01T14:45:00+02:00;74;74;74;74;NaN;NaN;NaN;296;2898.3
2020-10-01T15:00:00+02:00;74;74.1;74;74.1;NaN;NaN;NaN;545;2844.7
2020-10-01T15:15:00+02:00;74.1;74.1;73.6;73.6;NaN;NaN;NaN;10135;3337.6
2020-10-01T15:30:00+02:00;73.9;73.9;73.9;73.9;NaN;NaN;NaN;507;3357.35
2020-10-01T15:45:00+02:00;73.9;74;73.6;74;NaN;NaN;NaN;659;3195.85
2020-10-01T16:00:00+02:00;73.9;73.9;73.7;73.7;NaN;NaN;NaN;1042;3076.9
2020-10-01T16:15:00+02:00;73.5;73.5;73.5;73.5;NaN;NaN;NaN;520;3082.95
2020-10-01T16:30:00+02:00;73.7;74;73.7;74;NaN;NaN;NaN;1979;3029.85
2020-10-01T16:45:00+02:00;73.9;74;73.7;73.7;NaN;NaN;NaN;956;2925.9
2020-10-01T17:00:00+02:00;73.8;73.8;73.7;73.7;NaN;NaN;NaN;1595;3004.95
2020-10-01T17:15:00+02:00;73.7;73.9;73.7;73.9;NaN;NaN;NaN;7347;3338.7
2020-10-02T09:00:00+02:00;73.7;73.7;73.1;73.6;NaN;NaN;NaN;3581;3504.3
2020-10-02T09:15:00+02:00;73.3;73.3;72.8;72.8;NaN;NaN;NaN;2138;3603.55
2020-10-02T09:30:00+02:00;73.2;73.7;72.8;73.7;NaN;NaN;NaN;3125;3745.25
2020-10-02T09:45:00+02:00;73.3;73.3;73.2;73.2;NaN;NaN;NaN;145;3718
2020-10-02T10:00:00+02:00;73.2;73.8;73.2;73.6;NaN;NaN;NaN;1668;2179.8
2020-10-02T10:15:00+02:00;73.6;73.6;73.5;73.5;NaN;NaN;NaN;1030;2106.1
2020-10-02T10:30:00+02:00;73.5;73.8;73.3;73.7;NaN;NaN;NaN;505;1992.05
2020-10-02T10:45:00+02:00;73.7;73.9;73.7;73.9;NaN;NaN;NaN;129;1945.6
2020-10-02T11:00:00+02:00;73.7;73.7;73.7;73.7;NaN;NaN;NaN;1094;1949.8
2020-10-02T11:15:00+02:00;73.7;73.7;73.7;73.7;NaN;NaN;NaN;118;1940.9
2020-10-02T11:30:00+02:00;73.7;73.8;73.4;73.5;NaN;NaN;NaN;4242;2125.75
2020-10-02T11:45:00+02:00;73.4;73.6;73.4;73.4;NaN;NaN;NaN;823;1660.15
2020-10-02T12:00:00+02:00;73.6;73.6;73.5;73.5;NaN;NaN;NaN;996;1684.6
2020-10-02T12:15:00+02:00;73.5;73.7;73.5;73.5;NaN;NaN;NaN;286;1665.95
2020-10-02T12:30:00+02:00;73.5;73.7;73.4;73.7;NaN;NaN;NaN;1792;1703.45
2020-10-02T12:45:00+02:00;73.4;73.4;72.9;72.9;NaN;NaN;NaN;17725;2563.7
2020-10-02T13:00:00+02:00;72.8;73.4;72.8;73.2;NaN;NaN;NaN;30209;3975.2
2020-10-02T13:15:00+02:00;73.2;73.3;73.2;73.2;NaN;NaN;NaN;4611;4157.95
2020-10-02T13:30:00+02:00;73.2;73.3;73;73.3;NaN;NaN;NaN;26436;5400
2020-10-02T13:45:00+02:00;73.5;73.5;73.3;73.3;NaN;NaN;NaN;1701;5117.7
2020-10-02T14:00:00+02:00;73.3;73.3;73.3;73.3;NaN;NaN;NaN;156;4946.45
2020-10-02T14:15:00+02:00;73.6;73.8;73.3;73.8;NaN;NaN;NaN;471;4863.1
2020-10-02T14:30:00+02:00;73.9;73.9;73.8;73.9;NaN;NaN;NaN;286;4721.15
2020-10-02T14:45:00+02:00;73.6;73.6;73.6;73.6;NaN;NaN;NaN;716;4749.7
2020-10-02T15:00:00+02:00;73.6;73.6;73.6;73.6;NaN;NaN;NaN;75;4670.05
2020-10-02T15:15:00+02:00;73.7;73.7;73.5;73.6;NaN;NaN;NaN;1160;4676.55
2020-10-02T15:30:00+02:00;73.6;74.1;73.6;74.1;NaN;NaN;NaN;2260;4764.3
2020-10-02T15:45:00+02:00;74;74;74;74;NaN;NaN;NaN;27;4759.2
2020-10-02T16:00:00+02:00;73.8;73.8;73.4;73.4;NaN;NaN;NaN;8295;5119.25
2020-10-02T16:45:00+02:00;73.7;73.7;73.4;73.4;NaN;NaN;NaN;794;5153.05
