time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-12-11T09:00:00+01:00;35;35.5;32.185;34.6;NaN;NaN;NaN;65544;NaN
2020-12-11T09:15:00+01:00;34.875;35.875;34.5;34.8;NaN;NaN;NaN;40493;NaN
2020-12-11T09:30:00+01:00;34.7;36.5;34.7;35;NaN;NaN;NaN;43019;NaN
2020-12-11T09:45:00+01:00;35.575;35.895;34.8;35;NaN;NaN;NaN;26674;NaN
2020-12-11T10:00:00+01:00;35;35.005;34.5;34.57;NaN;NaN;NaN;24683;NaN
2020-12-11T10:15:00+01:00;34.57;34.67;34.57;34.64;NaN;NaN;NaN;14948;NaN
2020-12-11T10:30:00+01:00;34.64;34.65;34.5;34.505;NaN;NaN;NaN;15050;NaN
2020-12-11T10:45:00+01:00;34.505;34.58;34.32;34.48;NaN;NaN;NaN;11480;NaN
2020-12-11T11:00:00+01:00;34.48;34.5;34.36;34.5;NaN;NaN;NaN;10146;NaN
2020-12-11T11:15:00+01:00;34.495;34.5;34.465;34.47;NaN;NaN;NaN;3205;NaN
2020-12-11T11:30:00+01:00;34.47;34.47;34.365;34.4;NaN;NaN;NaN;3733;NaN
2020-12-11T11:45:00+01:00;34.4;34.44;34.4;34.4;NaN;NaN;NaN;5985;NaN
2020-12-11T12:00:00+01:00;34.41;34.43;34.37;34.375;NaN;NaN;NaN;4159;NaN
2020-12-11T12:15:00+01:00;34.375;34.375;33.11;33.405;NaN;NaN;NaN;20369;NaN
2020-12-11T12:30:00+01:00;33.405;33.895;33.15;33.395;NaN;NaN;NaN;6029;NaN
2020-12-11T12:45:00+01:00;33.4;33.5;33.115;33.125;NaN;NaN;NaN;5837;NaN
2020-12-11T13:00:00+01:00;33.125;33.75;33.125;33.32;NaN;NaN;NaN;10201;NaN
2020-12-11T13:15:00+01:00;33.32;33.55;33.2;33.395;NaN;NaN;NaN;12962;NaN
2020-12-11T13:30:00+01:00;33.395;33.8;33.35;33.6;NaN;NaN;NaN;18120;NaN
2020-12-11T13:45:00+01:00;33.8;34.35;33.605;34.065;NaN;NaN;NaN;9195;17591.6
2020-12-11T14:00:00+01:00;34.38;34.38;34.04;34.045;NaN;NaN;NaN;7626;14695.7
2020-12-11T14:15:00+01:00;34.15;34.15;34.04;34.05;NaN;NaN;NaN;3938;12867.95
2020-12-11T14:30:00+01:00;34.04;34.05;33.915;34;NaN;NaN;NaN;7565;11095.25
2020-12-11T14:45:00+01:00;33.92;34.03;33.915;33.995;NaN;NaN;NaN;3230;9923.05
2020-12-11T15:00:00+01:00;34.025;34.07;33.97;34;NaN;NaN;NaN;7989;9088.35
2020-12-11T15:15:00+01:00;34;34.005;33.89;33.89;NaN;NaN;NaN;4823;8582.1
2020-12-11T15:30:00+01:00;33.9;34.195;33.79;34.195;NaN;NaN;NaN;12691;8464.15
2020-12-11T15:45:00+01:00;33.9;34.1;33.8;34.04;NaN;NaN;NaN;8122;8296.25
2020-12-11T16:00:00+01:00;34;34.25;34;34.1;NaN;NaN;NaN;4688;8023.35
2020-12-11T16:15:00+01:00;34.13;34.25;34.13;34.22;NaN;NaN;NaN;4597;8092.95
2020-12-11T16:30:00+01:00;34.22;34.2225;34.17;34.17;NaN;NaN;NaN;3169;8064.75
2020-12-11T16:45:00+01:00;34.17;34.18;34.16;34.16;NaN;NaN;NaN;1417;7836.35
2020-12-11T17:00:00+01:00;34.16;34.365;34.15;34.155;NaN;NaN;NaN;6507;7953.75
2020-12-11T17:15:00+01:00;34.155;34.6;33.8;33.8;NaN;NaN;NaN;91265;11498.55
2020-12-14T09:00:00+01:00;34.585;34.6;33.9;34;NaN;NaN;NaN;35701;12982.15
2020-12-14T09:15:00+01:00;34;34.1;33.995;34.04;NaN;NaN;NaN;15472;13463.9
2020-12-14T09:30:00+01:00;34.04;34.1;34;34;NaN;NaN;NaN;12113;13559.5
2020-12-14T09:45:00+01:00;34.02;34.085;34;34.005;NaN;NaN;NaN;9485;13385.65
2020-12-14T10:00:00+01:00;34.005;34.065;34;34.005;NaN;NaN;NaN;7425;12850.9
2020-12-14T10:15:00+01:00;34.005;34.03;34;34;NaN;NaN;NaN;15253;13153.8
2020-12-14T10:30:00+01:00;34.01;34.07;33.95;33.975;NaN;NaN;NaN;19326;13738.8
2020-12-14T10:45:00+01:00;34;34;33.975;33.975;NaN;NaN;NaN;4607;13772.25
2020-12-14T11:00:00+01:00;34;34.03;33.975;33.99;NaN;NaN;NaN;9112;13849.6
2020-12-14T11:15:00+01:00;33.99;34.07;33.985;33.985;NaN;NaN;NaN;6850;14030.6
2020-12-14T11:30:00+01:00;34;34;33.985;34;NaN;NaN;NaN;9166;14089.45
2020-12-14T11:45:00+01:00;34;34;33.985;33.99;NaN;NaN;NaN;3705;14033.55
2020-12-14T12:00:00+01:00;33.99;34;33.85;33.85;NaN;NaN;NaN;5301;13664.05
2020-12-14T12:15:00+01:00;33.9;33.945;33.85;33.88;NaN;NaN;NaN;7315;13623.7
2020-12-14T12:30:00+01:00;33.94;33.97;33.88;33.97;NaN;NaN;NaN;7858;13782.2
2020-12-14T12:45:00+01:00;33.97;33.98;33.96;33.98;NaN;NaN;NaN;5315;13818.1
2020-12-14T13:00:00+01:00;33.97;34;33.965;33.995;NaN;NaN;NaN;6317;13975.5
2020-12-14T13:15:00+01:00;33.995;34;33.995;34;NaN;NaN;NaN;1261;13967.7
2020-12-14T13:30:00+01:00;34;34;33.995;34;NaN;NaN;NaN;6775;13981.1
2020-12-14T13:45:00+01:00;33.995;34;33.99;34;NaN;NaN;NaN;4676;9651.65
2020-12-14T14:00:00+01:00;34;34;33.99;34;NaN;NaN;NaN;3503;8041.75
2020-12-14T14:15:00+01:00;34;34.07;33.99;34.07;NaN;NaN;NaN;5405;7538.4
2020-12-14T14:30:00+01:00;34.07;34.495;34.01;34.445;NaN;NaN;NaN;8688;7367.15
2020-12-14T14:45:00+01:00;34.22;34.42;34.1;34.235;NaN;NaN;NaN;8509;7318.35
2020-12-14T15:00:00+01:00;34.1;34.495;34.1;34.49;NaN;NaN;NaN;2449;7069.55
2020-12-14T15:15:00+01:00;34.1;34.5;34.075;34.145;NaN;NaN;NaN;4788;6546.3
2020-12-14T15:30:00+01:00;34.145;34.475;34.12;34.12;NaN;NaN;NaN;7039;5931.95
2020-12-14T15:45:00+01:00;34.17;34.17;33.98;33.98;NaN;NaN;NaN;14257;6414.45
2020-12-14T16:00:00+01:00;33.97;33.975;33.935;33.935;NaN;NaN;NaN;3297;6123.7
2020-12-14T16:15:00+01:00;33.935;33.945;33.87;33.94;NaN;NaN;NaN;8029;6182.65
2020-12-14T16:30:00+01:00;33.945;33.945;33.8;33.8;NaN;NaN;NaN;4911;5969.9
2020-12-14T16:45:00+01:00;33.8;33.8;33.5;33.505;NaN;NaN;NaN;10371;6303.2
2020-12-14T17:00:00+01:00;33.7;33.7;33.1;33.2;NaN;NaN;NaN;5885;6332.4
2020-12-14T17:15:00+01:00;33.2;33.25;31.35;32.15;NaN;NaN;NaN;32234;7578.35
2020-12-15T09:00:00+01:00;32.01;33;32.01;32.5;NaN;NaN;NaN;31184;8744.65
2020-12-15T09:15:00+01:00;32.32;32.5;32.2;32.25;NaN;NaN;NaN;11103;9034.05
2020-12-15T09:30:00+01:00;32.25;32.695;32.1;32.15;NaN;NaN;NaN;9288;9182.6
2020-12-15T09:45:00+01:00;32.15;32.68;32.15;32.295;NaN;NaN;NaN;4950;9367.05
2020-12-15T10:00:00+01:00;32.34;32.34;32.005;32.03;NaN;NaN;NaN;9532;9504.9
2020-12-15T10:15:00+01:00;32.01;32.1;31.85;31.85;NaN;NaN;NaN;14932;10017.7
2020-12-15T10:30:00+01:00;31.85;32.1;31.505;32.09;NaN;NaN;NaN;8181;10251.6
2020-12-15T10:45:00+01:00;32.085;32.1;31.7;32.08;NaN;NaN;NaN;402061;30084.4
2020-12-15T11:00:00+01:00;32.1;32.155;32.05;32.05;NaN;NaN;NaN;145771;36938.55
2020-12-15T11:15:00+01:00;32.05;32.1;32;32.02;NaN;NaN;NaN;4978;36762
2020-12-15T11:30:00+01:00;32.025;32.2;32.025;32.2;NaN;NaN;NaN;13437;37311.4
2020-12-15T11:45:00+01:00;32.22;32.26;32.05;32.2;NaN;NaN;NaN;8554;37499.7
2020-12-15T12:00:00+01:00;32.05;32.14;32;32.01;NaN;NaN;NaN;7610;37528.25
2020-12-15T12:15:00+01:00;32;32.1;32;32;NaN;NaN;NaN;7789;37204.85
2020-12-15T12:30:00+01:00;32.1;32.1;31.755;31.755;NaN;NaN;NaN;6363;37358.15
2020-12-15T12:45:00+01:00;31.755;31.84;31.75;31.84;NaN;NaN;NaN;2312;37072.3
2020-12-15T13:00:00+01:00;31.8;31.815;31.75;31.8;NaN;NaN;NaN;1823;36917.9
2020-12-15T13:15:00+01:00;31.815;31.815;31.75;31.75;NaN;NaN;NaN;4007;36599.7
2020-12-15T13:30:00+01:00;31.75;31.82;31.7;31.7;NaN;NaN;NaN;7135;36662.2
2020-12-15T13:45:00+01:00;31.75;31.78;31.66;31.66;NaN;NaN;NaN;7677;35434.35
2020-12-15T14:00:00+01:00;31.74;31.74;31.5;31.52;NaN;NaN;NaN;10820;34416.15
2020-12-15T14:15:00+01:00;31.5;31.505;31.2;31.5;NaN;NaN;NaN;11217;34421.85
2020-12-15T14:30:00+01:00;31.5;31.63;31.5;31.63;NaN;NaN;NaN;4417;34178.3
2020-12-15T14:45:00+01:00;31.51;31.63;31.4;31.4;NaN;NaN;NaN;3174;34089.5
2020-12-15T15:00:00+01:00;31.41;31.41;31;31.02;NaN;NaN;NaN;4596;33842.7
2020-12-15T15:15:00+01:00;31.02;31.3;31.02;31.115;NaN;NaN;NaN;11531;33672.65
2020-12-15T15:30:00+01:00;31.115;31.23;31.02;31.23;NaN;NaN;NaN;17531;34140.15
2020-12-15T15:45:00+01:00;31.23;31.23;31;31.05;NaN;NaN;NaN;11758;14625
2020-12-15T16:00:00+01:00;31.06;31.5;31.03;31.415;NaN;NaN;NaN;9527;7812.8
2020-12-15T16:15:00+01:00;31.495;31.54;31.415;31.5;NaN;NaN;NaN;268637;20995.75
2020-12-15T16:30:00+01:00;31.54;32;31.5;32;NaN;NaN;NaN;6924;20670.1
2020-12-15T16:45:00+01:00;32.08;32.1;31.63;31.85;NaN;NaN;NaN;6321;20558.45
2020-12-15T17:00:00+01:00;31.92;31.97;31.8;31.8;NaN;NaN;NaN;12413;20798.6
2020-12-15T17:15:00+01:00;31.9;31.92;31;31;NaN;NaN;NaN;83915;24604.9
2020-12-16T09:00:00+01:00;31.505;31.92;31;31;NaN;NaN;NaN;30151;25794.3
2020-12-16T09:15:00+01:00;31;31.49;31;31.3;NaN;NaN;NaN;7885;26072.95
2020-12-16T09:30:00+01:00;31.475;31.475;31.32;31.45;NaN;NaN;NaN;4247;26194.15
2020-12-16T09:45:00+01:00;31.45;31.73;31.365;31.57;NaN;NaN;NaN;9143;26450.95
2020-12-16T10:00:00+01:00;31.6;31.845;31.57;31.665;NaN;NaN;NaN;7327;26460.55
2020-12-16T10:15:00+01:00;31.67;31.8;31.365;31.52;NaN;NaN;NaN;13941;26773.75
2020-12-16T10:30:00+01:00;31.365;31.52;31.15;31.15;NaN;NaN;NaN;6978;26581.65
2020-12-16T10:45:00+01:00;31.11;31.205;31.1;31.14;NaN;NaN;NaN;5971;26319.35
2020-12-16T11:00:00+01:00;31.14;31.205;31;31;NaN;NaN;NaN;8638;26530.4
2020-12-16T11:15:00+01:00;31;31.14;31;31.01;NaN;NaN;NaN;3112;26527.3
2020-12-16T11:30:00+01:00;31.08;31.08;31.01;31.01;NaN;NaN;NaN;5090;26552
2020-12-16T11:45:00+01:00;31;31.105;31;31.0575;NaN;NaN;NaN;9817;26466.3
2020-12-16T12:00:00+01:00;31.105;31.105;31;31;NaN;NaN;NaN;7606;25970.05
2020-12-16T12:15:00+01:00;31.01;31.075;30.99;31.01;NaN;NaN;NaN;10010;25882.65
2020-12-16T12:30:00+01:00;31.01;31.075;30.845;30.845;NaN;NaN;NaN;9047;25858.65
2020-12-16T12:45:00+01:00;31;31.26;30.845;31.055;NaN;NaN;NaN;20780;13465.8
2020-12-16T13:00:00+01:00;31.055;31.13;31.01;31.055;NaN;NaN;NaN;5161;13377.65
2020-12-16T13:15:00+01:00;31.055;31.08;31.055;31.08;NaN;NaN;NaN;204;13071.8
2020-12-16T13:30:00+01:00;31.08;31.08;31.055;31.055;NaN;NaN;NaN;694;12485.85
2020-12-16T13:45:00+01:00;31.055;31.08;31.01;31.05;NaN;NaN;NaN;9151;8747.65
2020-12-16T14:00:00+01:00;31.07;31.07;31.05;31.05;NaN;NaN;NaN;1784;7329.3
2020-12-16T14:15:00+01:00;31.05;31.07;31;31.07;NaN;NaN;NaN;3693;7119.7
2020-12-16T14:30:00+01:00;31;31.08;31;31.025;NaN;NaN;NaN;37471;8780.9
2020-12-16T14:45:00+01:00;31.025;31.045;31;31;NaN;NaN;NaN;4501;8548.8
2020-12-16T15:00:00+01:00;31.045;31.045;31.045;31.045;NaN;NaN;NaN;1620;8263.45
2020-12-16T15:15:00+01:00;31.01;31.055;31.01;31.055;NaN;NaN;NaN;4971;7814.95
2020-12-16T15:30:00+01:00;31.02;31.045;31.01;31.01;NaN;NaN;NaN;4927;7712.4
2020-12-16T15:45:00+01:00;31;31.03;30.89;31;NaN;NaN;NaN;5456;7686.65
2020-12-16T16:00:00+01:00;31;31;30.83;30.855;NaN;NaN;NaN;4646;7487.05
2020-12-16T16:15:00+01:00;30.9;30.91;30.81;30.84;NaN;NaN;NaN;3218;7492.35
2020-12-16T16:30:00+01:00;30.8;30.84;30.1;30.25;NaN;NaN;NaN;17829;8129.3
2020-12-16T16:45:00+01:00;30.2;30.2;30.12;30.125;NaN;NaN;NaN;10348;8155.85
2020-12-16T17:00:00+01:00;30.12;30.135;30;30.125;NaN;NaN;NaN;30900;9320.55
2020-12-16T17:15:00+01:00;30.12;30.245;30;30;NaN;NaN;NaN;65639;12102
2020-12-17T09:00:00+01:00;30.25;30.75;30.2;30.2;NaN;NaN;NaN;16170;12458.15
2020-12-17T09:15:00+01:00;30.25;30.5;29.9;29.9;NaN;NaN;NaN;491875;36012.9
2020-12-17T09:30:00+01:00;29.9;29.9;29.5;29.55;NaN;NaN;NaN;11986;36354.15
2020-12-17T09:45:00+01:00;29.7;29.75;29.25;29.5;NaN;NaN;NaN;16580;37172.95
2020-12-17T10:00:00+01:00;29.5;29.75;29.45;29.75;NaN;NaN;NaN;9151;37595.8
2020-12-17T10:15:00+01:00;29.75;29.8;29.55;29.6;NaN;NaN;NaN;10384;37657.45
2020-12-17T10:30:00+01:00;29.6;30;29.6;29.75;NaN;NaN;NaN;7465;37941.5
2020-12-17T10:45:00+01:00;29.75;30;29.75;29.8;NaN;NaN;NaN;8184;38166.05
2020-12-17T11:00:00+01:00;29.8;30;29.75;29.8;NaN;NaN;NaN;6470;36616
2020-12-17T11:15:00+01:00;29.8;29.85;29.5;29.55;NaN;NaN;NaN;7043;36743.1
2020-12-17T11:30:00+01:00;29.55;29.55;29.5;29.55;NaN;NaN;NaN;5120;36918.1
2020-12-17T11:45:00+01:00;29.5;29.55;29.5;29.55;NaN;NaN;NaN;5911;36965.1
2020-12-17T12:00:00+01:00;29.55;29.6;29.5;29.55;NaN;NaN;NaN;10094;37223.45
2020-12-17T12:15:00+01:00;29.5;29.65;29.5;29.5;NaN;NaN;NaN;7370;37319.15
2020-12-17T12:30:00+01:00;29.5;29.7;29.5;29.55;NaN;NaN;NaN;7872;37480.45
2020-12-17T12:45:00+01:00;29.6;29.9;29.55;29.85;NaN;NaN;NaN;8802;37759.65
2020-12-17T13:00:00+01:00;29.55;29.9;29.55;29.6;NaN;NaN;NaN;8292;37282.8
2020-12-17T13:15:00+01:00;29.65;29.85;29.6;29.6;NaN;NaN;NaN;4293;36980.05
2020-12-17T13:30:00+01:00;29.65;29.8;29.55;29.55;NaN;NaN;NaN;12605;36065.3
2020-12-17T13:45:00+01:00;29.55;29.6;29.5;29.5;NaN;NaN;NaN;10182;33292.45
2020-12-17T14:00:00+01:00;29.5;29.55;29.5;29.5;NaN;NaN;NaN;6255;32796.7
2020-12-17T14:15:00+01:00;29.525;29.55;29.5;29.55;NaN;NaN;NaN;6926;8549.25
2020-12-17T14:30:00+01:00;29.5;29.6;29.5;29.5;NaN;NaN;NaN;11218;8510.85
2020-12-17T14:45:00+01:00;29.5;29.75;29.5;29.75;NaN;NaN;NaN;7814;8072.55
2020-12-17T15:00:00+01:00;29.8;29.8;29.7;29.7;NaN;NaN;NaN;3734;7801.7
2020-12-17T15:15:00+01:00;29.7;29.9;29.7;29.9;NaN;NaN;NaN;7820;7673.5
2020-12-17T15:30:00+01:00;29.9;29.95;29.85;29.85;NaN;NaN;NaN;2733;7436.9
2020-12-17T15:45:00+01:00;29.75;29.85;29.7;29.85;NaN;NaN;NaN;4816;7268.5
2020-12-17T16:00:00+01:00;29.75;29.85;29.7;29.7;NaN;NaN;NaN;9784;7434.2
2020-12-17T16:15:00+01:00;29.85;29.85;29.5;29.55;NaN;NaN;NaN;4020;7283.05
2020-12-17T16:30:00+01:00;29.55;29.7;29.55;29.65;NaN;NaN;NaN;8889;7471.5
