time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-09-01T09:00:00+02:00;206;207;206;207;NaN;NaN;NaN;392;NaN
2020-09-01T09:15:00+02:00;206.5;208;206.5;208;NaN;NaN;NaN;13;NaN
2020-09-01T09:30:00+02:00;207;207;207;207;NaN;NaN;NaN;287;NaN
2020-09-01T09:45:00+02:00;206;206;205.5;205.5;NaN;NaN;NaN;180;NaN
2020-09-01T10:00:00+02:00;205.5;205.5;205.5;205.5;NaN;NaN;NaN;76;NaN
2020-09-01T10:15:00+02:00;205;205;204.5;204.5;NaN;NaN;NaN;138;NaN
2020-09-01T10:30:00+02:00;205;206;205;206;NaN;NaN;NaN;710;NaN
2020-09-01T10:45:00+02:00;206;206;206;206;NaN;NaN;NaN;100;NaN
2020-09-01T11:00:00+02:00;204.5;204.5;203.5;204.5;NaN;NaN;NaN;607;NaN
2020-09-01T11:15:00+02:00;204.5;204.5;204.5;204.5;NaN;NaN;NaN;40;NaN
2020-09-01T11:30:00+02:00;204.5;204.5;204.5;204.5;NaN;NaN;NaN;5;NaN
2020-09-01T12:00:00+02:00;205.5;205.5;205.5;205.5;NaN;NaN;NaN;80;NaN
2020-09-01T12:30:00+02:00;205.5;205.5;205.5;205.5;NaN;NaN;NaN;7;NaN
2020-09-01T12:45:00+02:00;205.5;205.5;205.5;205.5;NaN;NaN;NaN;72;NaN
2020-09-01T13:15:00+02:00;205.5;205.5;203.5;203.5;NaN;NaN;NaN;517;NaN
2020-09-01T13:30:00+02:00;203.5;203.5;202.5;202.5;NaN;NaN;NaN;441;NaN
2020-09-01T13:45:00+02:00;202.5;203;202.5;203;NaN;NaN;NaN;236;NaN
2020-09-01T14:00:00+02:00;203.5;205.5;203.5;205.5;NaN;NaN;NaN;471;NaN
2020-09-01T14:15:00+02:00;205;205;205;205;NaN;NaN;NaN;119;NaN
2020-09-01T14:30:00+02:00;205;205;204.5;204.5;NaN;NaN;NaN;717;260.4
2020-09-01T14:45:00+02:00;205;205;204.5;204.5;NaN;NaN;NaN;147;248.15
2020-09-01T15:15:00+02:00;205;205;205;205;NaN;NaN;NaN;4;247.7
2020-09-01T15:30:00+02:00;204.5;204.5;204;204;NaN;NaN;NaN;727;269.7
2020-09-01T15:45:00+02:00;204;204;204;204;NaN;NaN;NaN;102;265.8
2020-09-01T16:00:00+02:00;204;205;204;204.5;NaN;NaN;NaN;983;311.15
2020-09-01T16:30:00+02:00;204.5;205;204.5;205;NaN;NaN;NaN;61;307.3
2020-09-01T16:45:00+02:00;204.5;204.5;204.5;204.5;NaN;NaN;NaN;23;272.95
2020-09-01T17:00:00+02:00;204.5;205;204.5;204.5;NaN;NaN;NaN;132;274.55
2020-09-01T17:15:00+02:00;204.5;205;204.5;204.5;NaN;NaN;NaN;784;283.4
2020-09-02T09:15:00+02:00;206;206;206;206;NaN;NaN;NaN;3;281.55
2020-09-02T09:30:00+02:00;207.5;209;207.5;209;NaN;NaN;NaN;313;296.95
2020-09-02T09:45:00+02:00;209;209;209;209;NaN;NaN;NaN;499;317.9
2020-09-02T10:00:00+02:00;209;210;209;210;NaN;NaN;NaN;138;324.45
2020-09-02T10:15:00+02:00;210;210;209;209.5;NaN;NaN;NaN;163;329
2020-09-02T10:30:00+02:00;209;209;209;209;NaN;NaN;NaN;7;303.5
2020-09-02T10:45:00+02:00;209.5;209.5;209.5;209.5;NaN;NaN;NaN;155;289.2
2020-09-02T11:00:00+02:00;208;208;208;208;NaN;NaN;NaN;120;283.4
2020-09-02T11:15:00+02:00;208;209;208;209;NaN;NaN;NaN;53;262.5
2020-09-02T11:30:00+02:00;209;209;209;209;NaN;NaN;NaN;251;269.1
2020-09-02T11:45:00+02:00;209;209;209;209;NaN;NaN;NaN;1;233.3
2020-09-02T12:00:00+02:00;209;209;208.5;208.5;NaN;NaN;NaN;206;236.25
2020-09-02T12:15:00+02:00;209;209;209;209;NaN;NaN;NaN;1;236.1
2020-09-02T12:30:00+02:00;209;209;208.5;208.5;NaN;NaN;NaN;109;205.2
