time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-08-03T09:00:00+02:00;181.8;181.8;177.2;177.2;NaN;NaN;NaN;881;NaN
2020-08-03T09:15:00+02:00;177;179.4;176.8;179.4;NaN;NaN;NaN;635;NaN
2020-08-03T09:30:00+02:00;179.4;180;178.2;180;NaN;NaN;NaN;355;NaN
2020-08-03T09:45:00+02:00;180;180;178.4;178.4;NaN;NaN;NaN;65;NaN
2020-08-03T10:00:00+02:00;178;178.8;178;178.8;NaN;NaN;NaN;101;NaN
2020-08-03T10:15:00+02:00;180;180;180;180;NaN;NaN;NaN;1;NaN
2020-08-03T10:30:00+02:00;179;179;178.8;179;NaN;NaN;NaN;27;NaN
2020-08-03T10:45:00+02:00;178;179;178;179;NaN;NaN;NaN;30;NaN
2020-08-03T11:00:00+02:00;178.4;180;178.4;180;NaN;NaN;NaN;216;NaN
2020-08-03T11:30:00+02:00;178.8;178.8;178;178.8;NaN;NaN;NaN;270;NaN
2020-08-03T11:45:00+02:00;178.6;178.6;177;178.2;NaN;NaN;NaN;410;NaN
2020-08-03T12:30:00+02:00;178;178.8;177.2;178.8;NaN;NaN;NaN;3093;NaN
2020-08-03T13:00:00+02:00;179.6;179.6;179.6;179.6;NaN;NaN;NaN;100;NaN
2020-08-03T13:15:00+02:00;181;181;181;181;NaN;NaN;NaN;10;NaN
2020-08-03T13:30:00+02:00;179.4;180.6;179;180.6;NaN;NaN;NaN;319;NaN
2020-08-03T13:45:00+02:00;179.2;180.6;179.2;180.6;NaN;NaN;NaN;40;NaN
2020-08-03T14:30:00+02:00;180.6;180.6;180.6;180.6;NaN;NaN;NaN;6;NaN
2020-08-03T14:45:00+02:00;180.4;180.4;180.4;180.4;NaN;NaN;NaN;35;NaN
2020-08-03T15:00:00+02:00;180.4;181.2;180.4;181.2;NaN;NaN;NaN;67;NaN
2020-08-03T15:15:00+02:00;181.8;182;181.8;182;NaN;NaN;NaN;109;338.5
2020-08-03T15:30:00+02:00;182;182;182;182;NaN;NaN;NaN;54;297.15
2020-08-03T15:45:00+02:00;182;182;181.8;181.8;NaN;NaN;NaN;558;293.3
2020-08-03T16:00:00+02:00;182;182;182;182;NaN;NaN;NaN;295;290.3
2020-08-03T16:15:00+02:00;182;182;182;182;NaN;NaN;NaN;204;297.25
2020-08-03T16:30:00+02:00;181.4;182;181.4;182;NaN;NaN;NaN;607;322.55
2020-08-03T17:00:00+02:00;182;182;182;182;NaN;NaN;NaN;2;322.6
2020-08-03T17:15:00+02:00;182;182;182;182;NaN;NaN;NaN;182;330.35
2020-08-04T09:00:00+02:00;184.8;184.8;182;183.2;NaN;NaN;NaN;334;345.55
2020-08-04T09:15:00+02:00;181.4;181.4;181.4;181.4;NaN;NaN;NaN;79;338.7
2020-08-04T09:30:00+02:00;184;184;184;184;NaN;NaN;NaN;5;325.45
2020-08-04T10:15:00+02:00;180.6;181.6;180.6;181.6;NaN;NaN;NaN;13;305.6
2020-08-04T10:30:00+02:00;182;182;182;182;NaN;NaN;NaN;5;151.2
2020-08-04T10:45:00+02:00;182;182;182;182;NaN;NaN;NaN;158;154.1
2020-08-04T11:45:00+02:00;182;182;182;182;NaN;NaN;NaN;228;165
2020-08-04T12:15:00+02:00;183;183;183;183;NaN;NaN;NaN;5;149.3
2020-08-04T12:30:00+02:00;183;183;183;183;NaN;NaN;NaN;22;148.4
2020-08-04T12:45:00+02:00;182;182;182;182;NaN;NaN;NaN;1;148.15
2020-08-04T13:00:00+02:00;182.4;182.4;182.4;182.4;NaN;NaN;NaN;1;146.45
2020-08-04T13:15:00+02:00;182.4;182.4;182.4;182.4;NaN;NaN;NaN;1;143.15
2020-08-04T14:00:00+02:00;182.4;182.4;182.4;182.4;NaN;NaN;NaN;1;137.75
2020-08-04T14:30:00+02:00;183;183;183;183;NaN;NaN;NaN;16;135.85
2020-08-04T14:45:00+02:00;183;183;183;183;NaN;NaN;NaN;40;109.95
2020-08-04T15:00:00+02:00;183;183;182.6;182.6;NaN;NaN;NaN;33;96.85
2020-08-04T15:15:00+02:00;182.6;182.6;182.6;182.6;NaN;NaN;NaN;5;86.9
2020-08-04T15:30:00+02:00;182.6;182.6;182;182;NaN;NaN;NaN;33;58.2
2020-08-04T16:00:00+02:00;182.4;182.4;182.4;182.4;NaN;NaN;NaN;15;58.85
2020-08-04T16:30:00+02:00;182.4;182.4;182;182;NaN;NaN;NaN;39;51.7
2020-08-04T16:45:00+02:00;182.4;182.4;182;182.4;NaN;NaN;NaN;61;38.05
2020-08-04T17:00:00+02:00;182.4;182.4;182.2;182.2;NaN;NaN;NaN;32;35.7
2020-08-04T17:15:00+02:00;182.6;182.6;182.6;182.6;NaN;NaN;NaN;8;35.85
2020-08-05T09:00:00+02:00;182.6;182.8;182.6;182.8;NaN;NaN;NaN;21;36.25
2020-08-05T09:30:00+02:00;182.8;182.8;181.6;181.6;NaN;NaN;NaN;190;45.5
2020-08-05T09:45:00+02:00;181.6;182.4;181.6;182.4;NaN;NaN;NaN;15;38.35
2020-08-05T10:00:00+02:00;182.4;182.4;182.4;182.4;NaN;NaN;NaN;5;27.2
2020-08-05T10:30:00+02:00;182.2;182.2;182.2;182.2;NaN;NaN;NaN;26;28.25
2020-08-05T10:45:00+02:00;182.2;182.2;182.2;182.2;NaN;NaN;NaN;6;27.45
2020-08-05T11:00:00+02:00;181.4;182;181.2;182;NaN;NaN;NaN;150;34.9
2020-08-05T11:45:00+02:00;182;182;181.2;181.2;NaN;NaN;NaN;71;38.4
2020-08-05T12:30:00+02:00;181.8;182.4;181.8;182.4;NaN;NaN;NaN;799;78.3
2020-08-05T12:45:00+02:00;182.8;184;182.8;184;NaN;NaN;NaN;924;124.45
2020-08-05T13:30:00+02:00;184;184;184;184;NaN;NaN;NaN;75;127.4
2020-08-05T13:45:00+02:00;184;184;184;184;NaN;NaN;NaN;4;125.6
2020-08-05T14:00:00+02:00;184;185;184;185;NaN;NaN;NaN;349;141.4
2020-08-05T14:15:00+02:00;184.4;185;184.4;184.4;NaN;NaN;NaN;898;186.05
2020-08-05T14:30:00+02:00;184.4;184.4;184.4;184.4;NaN;NaN;NaN;12;185
2020-08-05T14:45:00+02:00;184.8;185;184.8;185;NaN;NaN;NaN;113;189.9
2020-08-05T15:00:00+02:00;185;185;184.4;184.4;NaN;NaN;NaN;65;191.2
2020-08-05T15:15:00+02:00;184.4;184.4;184.4;184.4;NaN;NaN;NaN;4;188.35
2020-08-05T15:30:00+02:00;185;185;185;185;NaN;NaN;NaN;99;191.7
2020-08-05T15:45:00+02:00;185;185;185;185;NaN;NaN;NaN;48;193.7
2020-08-05T16:00:00+02:00;185;185;185;185;NaN;NaN;NaN;260;205.65
2020-08-05T16:15:00+02:00;185;185;184.4;184.8;NaN;NaN;NaN;340;213.15
2020-08-05T16:30:00+02:00;184.8;185;184.8;185;NaN;NaN;NaN;337;229.25
2020-08-05T16:45:00+02:00;185;185;185;185;NaN;NaN;NaN;89;233.45
2020-08-05T17:00:00+02:00;185;185;185;185;NaN;NaN;NaN;255;244.9
2020-08-05T17:15:00+02:00;185;185;185;185;NaN;NaN;NaN;170;253.1
2020-08-06T09:00:00+02:00;185;185;183.8;183.8;NaN;NaN;NaN;263;258.75
2020-08-06T09:15:00+02:00;183.8;184;183.8;184;NaN;NaN;NaN;200;265.2
