time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;48.84;49.24;48.52;49.14;NaN;NaN;NaN;6947;NaN
2020-10-01T09:15:00+02:00;49.24;49.42;49.06;49.16;NaN;NaN;NaN;7814;NaN
2020-10-01T09:30:00+02:00;49;49;48.86;48.86;NaN;NaN;NaN;1501;NaN
2020-10-01T09:45:00+02:00;48.84;48.9;48.66;48.7;NaN;NaN;NaN;8916;NaN
2020-10-01T10:00:00+02:00;48.82;48.98;48.66;48.82;NaN;NaN;NaN;8476;NaN
2020-10-01T10:15:00+02:00;48.78;48.88;48.76;48.82;NaN;NaN;NaN;5850;NaN
2020-10-01T10:30:00+02:00;48.86;48.86;48.52;48.52;NaN;NaN;NaN;5192;NaN
2020-10-01T10:45:00+02:00;48.52;48.76;48.22;48.38;NaN;NaN;NaN;71772;NaN
2020-10-01T11:00:00+02:00;48.4;48.48;48.4;48.48;NaN;NaN;NaN;2203;NaN
2020-10-01T11:15:00+02:00;48.46;48.72;48.46;48.66;NaN;NaN;NaN;4411;NaN
2020-10-01T11:30:00+02:00;48.56;48.58;48.48;48.58;NaN;NaN;NaN;3911;NaN
2020-10-01T11:45:00+02:00;48.5;48.54;48.42;48.54;NaN;NaN;NaN;3032;NaN
2020-10-01T12:00:00+02:00;48.5;48.52;48.44;48.52;NaN;NaN;NaN;2379;NaN
2020-10-01T12:15:00+02:00;48.5;48.54;48.5;48.5;NaN;NaN;NaN;2138;NaN
2020-10-01T12:30:00+02:00;48.5;48.52;48.48;48.52;NaN;NaN;NaN;4060;NaN
2020-10-01T12:45:00+02:00;48.54;48.54;48.3;48.38;NaN;NaN;NaN;5170;NaN
2020-10-01T13:00:00+02:00;48.28;48.46;48.22;48.4;NaN;NaN;NaN;3304;NaN
2020-10-01T13:15:00+02:00;48.32;48.36;48.22;48.36;NaN;NaN;NaN;3228;NaN
2020-10-01T13:30:00+02:00;48.3;48.3;48.2;48.2;NaN;NaN;NaN;585;NaN
2020-10-01T13:45:00+02:00;48.28;48.28;48.18;48.22;NaN;NaN;NaN;6039;7846.4
2020-10-01T14:00:00+02:00;48.2;48.24;48.16;48.16;NaN;NaN;NaN;1708;7584.45
2020-10-01T14:15:00+02:00;48.24;48.34;48.24;48.26;NaN;NaN;NaN;3689;7378.2
2020-10-01T14:30:00+02:00;48.24;48.42;48.12;48.2;NaN;NaN;NaN;42087;9407.5
2020-10-01T14:45:00+02:00;48.32;48.66;48.32;48.5;NaN;NaN;NaN;25104;10216.9
2020-10-01T15:00:00+02:00;48.5;48.5;48.18;48.18;NaN;NaN;NaN;3660;9976.1
2020-10-01T15:15:00+02:00;48.16;48.24;48.12;48.24;NaN;NaN;NaN;12145;10290.85
2020-10-01T15:30:00+02:00;48.26;48.36;48.26;48.36;NaN;NaN;NaN;4366;10249.55
2020-10-01T15:45:00+02:00;48.32;48.56;48.26;48.56;NaN;NaN;NaN;13431;7332.5
2020-10-01T16:00:00+02:00;48.64;48.64;48.42;48.44;NaN;NaN;NaN;4848;7464.75
2020-10-01T16:15:00+02:00;48.4;48.54;48.32;48.54;NaN;NaN;NaN;6408;7564.6
2020-10-01T16:30:00+02:00;48.5;48.58;48.42;48.56;NaN;NaN;NaN;34916;9114.85
2020-10-01T16:45:00+02:00;48.52;48.54;48.34;48.38;NaN;NaN;NaN;16116;9769.05
2020-10-01T17:00:00+02:00;48.3;48.38;48.2;48.3;NaN;NaN;NaN;12200;10260.1
2020-10-01T17:15:00+02:00;48.26;48.26;48.12;48.26;NaN;NaN;NaN;17678;11037.1
2020-10-02T09:00:00+02:00;48.12;48.12;47.42;47.64;NaN;NaN;NaN;19665;11817.35
2020-10-02T09:15:00+02:00;47.6;47.74;47.46;47.74;NaN;NaN;NaN;9877;12052.7
2020-10-02T09:30:00+02:00;47.88;47.88;47.64;47.76;NaN;NaN;NaN;7583;12266.65
2020-10-02T09:45:00+02:00;47.66;47.66;47.5;47.6;NaN;NaN;NaN;1176;12164.05
2020-10-02T10:00:00+02:00;47.6;47.76;47.56;47.56;NaN;NaN;NaN;1725;12221.05
2020-10-02T10:15:00+02:00;47.56;47.6;47.56;47.6;NaN;NaN;NaN;2787;12058.45
2020-10-02T10:30:00+02:00;47.52;47.78;47.5;47.78;NaN;NaN;NaN;7028;12324.45
2020-10-02T10:45:00+02:00;47.7;48.02;47.7;48.02;NaN;NaN;NaN;1249;12202.45
2020-10-02T11:00:00+02:00;47.96;48.04;47.9;47.92;NaN;NaN;NaN;6912;10443.7
2020-10-02T11:15:00+02:00;47.92;47.98;47.86;47.86;NaN;NaN;NaN;1426;9259.8
2020-10-02T11:30:00+02:00;47.86;47.96;47.8;47.8;NaN;NaN;NaN;5030;9328.3
2020-10-02T11:45:00+02:00;47.78;47.78;47.64;47.64;NaN;NaN;NaN;5534;8997.75
2020-10-02T12:00:00+02:00;47.62;47.62;47.48;47.48;NaN;NaN;NaN;1061;8832.5
2020-10-02T12:15:00+02:00;47.56;47.8;47.56;47.72;NaN;NaN;NaN;4558;8388.85
2020-10-02T12:30:00+02:00;47.72;47.72;47.48;47.48;NaN;NaN;NaN;6333;8463.1
2020-10-02T12:45:00+02:00;47.48;47.6;47.42;47.6;NaN;NaN;NaN;44377;10361.55
2020-10-02T13:00:00+02:00;47.7;47.74;47.7;47.74;NaN;NaN;NaN;2925;8762
2020-10-02T13:15:00+02:00;47.72;47.72;47.6;47.6;NaN;NaN;NaN;1356;8024
2020-10-02T13:30:00+02:00;47.66;47.7;47.5;47.5;NaN;NaN;NaN;17908;8309.4
2020-10-02T13:45:00+02:00;47.5;47.64;47.5;47.62;NaN;NaN;NaN;6251;7738.05
2020-10-02T14:00:00+02:00;47.66;47.84;47.66;47.84;NaN;NaN;NaN;2899;6899.75
2020-10-02T14:15:00+02:00;47.84;47.84;47.72;47.78;NaN;NaN;NaN;7224;6767.1
2020-10-02T14:30:00+02:00;47.78;47.78;47.68;47.7;NaN;NaN;NaN;1892;6482.55
2020-10-02T14:45:00+02:00;47.68;47.84;47.68;47.76;NaN;NaN;NaN;7456;6796.55
2020-10-02T15:00:00+02:00;47.74;47.74;47.6;47.6;NaN;NaN;NaN;2773;6848.95
2020-10-02T15:15:00+02:00;47.66;47.68;47.54;47.54;NaN;NaN;NaN;8654;7142.3
2020-10-02T15:30:00+02:00;47.54;47.84;47.54;47.8;NaN;NaN;NaN;6742;7128
2020-10-02T15:45:00+02:00;47.78;47.84;47.74;47.8;NaN;NaN;NaN;5760;7353.55
2020-10-02T16:00:00+02:00;47.78;48.06;47.76;47.88;NaN;NaN;NaN;28097;8412.8
2020-10-02T16:15:00+02:00;47.8;47.9;47.66;47.66;NaN;NaN;NaN;9089;8795.95
2020-10-02T16:30:00+02:00;47.64;47.64;47.46;47.46;NaN;NaN;NaN;3421;8715.5
2020-10-02T16:45:00+02:00;47.42;47.42;47.1;47.26;NaN;NaN;NaN;23810;9629.3
2020-10-02T17:00:00+02:00;47.34;47.42;47.2;47.28;NaN;NaN;NaN;32311;11191.8
2020-10-02T17:15:00+02:00;47.34;47.4;47.28;47.4;NaN;NaN;NaN;52100;13568.9
2020-10-05T09:00:00+02:00;47.2;47.98;47.2;47.76;NaN;NaN;NaN;39319;15218.2
2020-10-05T09:15:00+02:00;47.72;48.61;47.68;48.3;NaN;NaN;NaN;43381;15168.4
2020-10-05T09:30:00+02:00;48.4;48.6;48.4;48.52;NaN;NaN;NaN;5908;15317.55
2020-10-05T09:45:00+02:00;48.46;48.64;48.46;48.64;NaN;NaN;NaN;1865;15343
