time,open,high,low,close,VWAP,Upper Band,Lower Band,Volume,Volume MA
2020-07-01T09:00:00+02:00,144.5,148,144.5,147.5,NaN,NaN,NaN,2213,NaN
2020-07-01T09:15:00+02:00,147.5,147.5,147.5,147.5,NaN,NaN,NaN,4,NaN
2020-07-01T09:30:00+02:00,146.5,146.5,145.5,146.5,NaN,NaN,NaN,721,NaN
2020-07-01T09:45:00+02:00,146.5,147.5,145.5,147.5,NaN,NaN,NaN,494,NaN
2020-07-01T10:00:00+02:00,148,148,148,148,NaN,NaN,NaN,1,NaN
2020-07-01T10:15:00+02:00,148,149,146.5,149,NaN,NaN,NaN,1116,NaN
2020-07-01T10:30:00+02:00,149,149.5,149,149,NaN,NaN,NaN,1632,NaN
2020-07-01T10:45:00+02:00,149.5,149.5,148.5,149,NaN,NaN,NaN,1931,NaN
2020-07-01T11:00:00+02:00,149,149,149,149,NaN,NaN,NaN,130,NaN
2020-07-01T11:15:00+02:00,149,149,148,148,NaN,NaN,NaN,391,NaN
2020-07-01T11:30:00+02:00,147.5,148,147,147,NaN,NaN,NaN,1166,NaN
2020-07-01T11:45:00+02:00,148.5,148.5,148.5,148.5,NaN,NaN,NaN,6,NaN
2020-07-01T12:00:00+02:00,147.5,149,147.5,149,NaN,NaN,NaN,956,NaN
2020-07-01T12:15:00+02:00,148,149,148,148,NaN,NaN,NaN,15,NaN
2020-07-01T12:30:00+02:00,148,148,148,148,NaN,NaN,NaN,160,NaN
2020-07-01T12:45:00+02:00,148.5,148.5,148.5,148.5,NaN,NaN,NaN,10,NaN
2020-07-01T13:00:00+02:00,148.5,148.5,148,148.5,NaN,NaN,NaN,32,NaN
2020-07-01T13:15:00+02:00,148.5,149.5,148.5,149.5,NaN,NaN,NaN,1107,NaN
2020-07-01T13:30:00+02:00,148,149,148,148,NaN,NaN,NaN,97,NaN
2020-07-01T13:45:00+02:00,148,148.5,147.5,148.5,NaN,NaN,NaN,1495,683.85
2020-07-01T14:00:00+02:00,149.5,149.5,149.5,149.5,NaN,NaN,NaN,229,584.65
2020-07-01T14:15:00+02:00,148.5,149.5,148.5,148.5,NaN,NaN,NaN,1034,636.15
2020-07-01T14:30:00+02:00,148.5,150,148.5,150,NaN,NaN,NaN,1620,681.1
2020-07-01T14:45:00+02:00,150,152,149.5,150.5,NaN,NaN,NaN,5081,910.45
2020-07-01T15:00:00+02:00,152,152,150.5,151,NaN,NaN,NaN,114,916.1
2020-07-01T15:15:00+02:00,152,153,151,153,NaN,NaN,NaN,733,896.95
2020-07-01T15:30:00+02:00,153,153.5,151,151,NaN,NaN,NaN,1809,905.8
2020-07-01T15:45:00+02:00,151.5,152.5,151.5,152,NaN,NaN,NaN,3274,972.95
2020-07-01T16:00:00+02:00,152,152,151.5,152,NaN,NaN,NaN,394,986.15
2020-07-01T16:15:00+02:00,152,152.5,152,152.5,NaN,NaN,NaN,718,1002.5
2020-07-01T16:30:00+02:00,152.5,153,152.5,153,NaN,NaN,NaN,458,967.1
2020-07-01T16:45:00+02:00,153,154,152.5,154,NaN,NaN,NaN,6056,1269.6
2020-07-01T17:00:00+02:00,153.5,154,153.5,153.5,NaN,NaN,NaN,1989,1321.25
2020-07-01T17:15:00+02:00,153,153.5,152,153.5,NaN,NaN,NaN,5836,1612.3
2020-07-02T09:00:00+02:00,154,156,154,155,NaN,NaN,NaN,5626,1885.6
2020-07-02T09:15:00+02:00,154.5,154.5,151.5,152.5,NaN,NaN,NaN,1025,1936.35
2020-07-02T09:30:00+02:00,151.5,152.5,151.5,151.5,NaN,NaN,NaN,796,1974.55
2020-07-02T09:45:00+02:00,151.5,152.5,151,151.5,NaN,NaN,NaN,571,1947.75
2020-07-02T10:00:00+02:00,151.5,152.5,151,152,NaN,NaN,NaN,2145,2050.15
2020-07-02T10:15:00+02:00,152,152.5,152,152.5,NaN,NaN,NaN,1196,2035.2
2020-07-02T10:30:00+02:00,152,152,152,152,NaN,NaN,NaN,1036,2075.55
2020-07-02T10:45:00+02:00,152,152,152,152,NaN,NaN,NaN,493,2048.5
2020-07-02T11:00:00+02:00,152.5,154.5,152.5,153.5,NaN,NaN,NaN,2122,2073.6
2020-07-02T11:15:00+02:00,153.5,153.5,153.5,153.5,NaN,NaN,NaN,1035,1871.3
2020-07-02T11:30:00+02:00,153.5,153.5,153.5,153.5,NaN,NaN,NaN,190,1875.1
2020-07-02T11:45:00+02:00,154,154,153.5,153.5,NaN,NaN,NaN,251,1851
2020-07-02T12:00:00+02:00,153.5,153.5,153.5,153.5,NaN,NaN,NaN,320,1776.55
2020-07-02T12:15:00+02:00,154.5,155,154.5,155,NaN,NaN,NaN,1169,1671.3
2020-07-02T12:30:00+02:00,155.5,155.5,154.5,154.5,NaN,NaN,NaN,827,1692.95
2020-07-02T12:45:00+02:00,154.5,154.5,154.5,154.5,NaN,NaN,NaN,8,1657.45
2020-07-02T13:00:00+02:00,155,155,154,154,NaN,NaN,NaN,1235,1696.3
2020-07-02T13:15:00+02:00,154,154,153.5,153.5,NaN,NaN,NaN,379,1412.45
2020-07-02T13:30:00+02:00,153,153,152,152,NaN,NaN,NaN,1645,1395.25
2020-07-02T13:45:00+02:00,152,152,152,152,NaN,NaN,NaN,200,1113.45
2020-07-02T14:00:00+02:00,153,153,153,153,NaN,NaN,NaN,80,836.15
2020-07-02T14:15:00+02:00,153,153,153,153,NaN,NaN,NaN,20,785.9
2020-07-02T14:30:00+02:00,152,153,152,152,NaN,NaN,NaN,643,778.25
2020-07-02T14:45:00+02:00,152.5,152.5,152.5,152.5,NaN,NaN,NaN,14,750.4
2020-07-02T15:00:00+02:00,152.5,152.5,151.5,151.5,NaN,NaN,NaN,2955,790.9
2020-07-02T15:15:00+02:00,152.5,152.5,152.5,152.5,NaN,NaN,NaN,132,737.7
2020-07-02T15:30:00+02:00,151.5,151.5,151.5,151.5,NaN,NaN,NaN,2614,816.6
2020-07-02T15:45:00+02:00,152,152,152,152,NaN,NaN,NaN,20,792.95
2020-07-02T16:00:00+02:00,151.5,151.5,150.5,150.5,NaN,NaN,NaN,3358,854.75
2020-07-02T16:15:00+02:00,150.5,150.5,150.5,150.5,NaN,NaN,NaN,377,821.85
2020-07-02T16:30:00+02:00,150.5,150.5,150,150.5,NaN,NaN,NaN,1735,899.1
2020-07-02T16:45:00+02:00,150.5,150.5,149,150,NaN,NaN,NaN,6144,1193.75
2020-07-02T17:00:00+02:00,150,150.5,149.5,150.5,NaN,NaN,NaN,1105,1233
2020-07-02T17:15:00+02:00,150.5,151,150.5,151,NaN,NaN,NaN,7358,1542.45
2020-07-03T09:00:00+02:00,151,151,149.5,151,NaN,NaN,NaN,399,1521.05
2020-07-03T09:15:00+02:00,150.5,151,150,151,NaN,NaN,NaN,646,1552.95
2020-07-03T09:30:00+02:00,151,151,150,151,NaN,NaN,NaN,423,1512.35
2020-07-03T09:45:00+02:00,151,151,150.5,151,NaN,NaN,NaN,2915,1639.15
2020-07-03T10:00:00+02:00,150.5,150.5,150.5,150.5,NaN,NaN,NaN,263,1570.05
2020-07-03T10:15:00+02:00,151,151,150,150.5,NaN,NaN,NaN,1053,1612.7
2020-07-03T10:30:00+02:00,151,151,149,149,NaN,NaN,NaN,1501,1683.75
2020-07-03T10:45:00+02:00,149.5,150,149.5,150,NaN,NaN,NaN,365,1701
2020-07-03T11:00:00+02:00,150,150,150,150,NaN,NaN,NaN,202,1678.95
2020-07-03T11:15:00+02:00,151,151,150.5,150.5,NaN,NaN,NaN,3010,1828.75
2020-07-03T11:30:00+02:00,151,151.5,150.5,150.5,NaN,NaN,NaN,1746,1768.3
2020-07-03T11:45:00+02:00,150.5,151.5,150,150.5,NaN,NaN,NaN,3493,1936.35
2020-07-03T12:15:00+02:00,150,150,150,150,NaN,NaN,NaN,233,1817.3
2020-07-03T12:30:00+02:00,150,151,150,150,NaN,NaN,NaN,272,1829.9
2020-07-03T12:45:00+02:00,151,151,150,150,NaN,NaN,NaN,222,1673.1
2020-07-03T13:15:00+02:00,150,150,150,150,NaN,NaN,NaN,120,1660.25
2020-07-03T13:30:00+02:00,151,151,151,151,NaN,NaN,NaN,136,1580.3
2020-07-03T14:00:00+02:00,150,150,150,150,NaN,NaN,NaN,42,1275.2
2020-07-03T14:30:00+02:00,151,151,151,151,NaN,NaN,NaN,1299,1284.9
2020-07-03T14:45:00+02:00,151,151,151,151,NaN,NaN,NaN,132,923.6
2020-07-03T15:00:00+02:00,150.5,150.5,150,150,NaN,NaN,NaN,978,952.55
2020-07-03T15:15:00+02:00,151,151,150,150,NaN,NaN,NaN,773,958.9
2020-07-03T15:45:00+02:00,150.5,150.5,150,150,NaN,NaN,NaN,23,938.9
2020-07-03T16:00:00+02:00,150,150,150,150,NaN,NaN,NaN,159,801.1
2020-07-03T16:15:00+02:00,150,150.5,150,150.5,NaN,NaN,NaN,475,811.7
2020-07-03T16:30:00+02:00,150,150.5,149.5,149.5,NaN,NaN,NaN,1471,832.6
2020-07-03T16:45:00+02:00,149.5,150.5,149.5,150,NaN,NaN,NaN,424,778.75
2020-07-03T17:00:00+02:00,150.5,150.5,150.5,150.5,NaN,NaN,NaN,19,761.45
2020-07-03T17:15:00+02:00,150,151,150,151,NaN,NaN,NaN,3850,943.85
2020-07-06T09:00:00+02:00,151,151,149,150,NaN,NaN,NaN,1167,851.7
2020-07-06T09:15:00+02:00,149,151.5,149,151,NaN,NaN,NaN,5642,1046.5
2020-07-06T09:30:00+02:00,150.5,150.5,150.5,150.5,NaN,NaN,NaN,365,890.1
2020-07-06T09:45:00+02:00,149.5,149.5,149.5,149.5,NaN,NaN,NaN,1451,951
