time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-07-01T09:00:00+02:00;92.2;92.3;91.9;91.9;NaN;NaN;NaN;567;NaN
2020-07-01T09:15:00+02:00;92.3;92.3;91.6;91.6;NaN;NaN;NaN;948;NaN
2020-07-01T09:30:00+02:00;91.6;92.2;91.5;92.2;NaN;NaN;NaN;330;NaN
2020-07-01T09:45:00+02:00;92;92;91.5;91.5;NaN;NaN;NaN;257;NaN
2020-07-01T10:00:00+02:00;91.6;92;91.6;92;NaN;NaN;NaN;57;NaN
2020-07-01T10:15:00+02:00;91.6;92;91.6;91.6;NaN;NaN;NaN;287;NaN
2020-07-01T10:30:00+02:00;91.9;91.9;91.9;91.9;NaN;NaN;NaN;3;NaN
2020-07-01T10:45:00+02:00;91.7;91.7;90.2;90.5;NaN;NaN;NaN;20241;NaN
2020-07-01T11:00:00+02:00;90.6;90.9;90.5;90.7;NaN;NaN;NaN;1919;NaN
2020-07-01T11:15:00+02:00;90.8;91;90.8;91;NaN;NaN;NaN;803;NaN
2020-07-01T11:30:00+02:00;91;91;91;91;NaN;NaN;NaN;506;NaN
2020-07-01T11:45:00+02:00;90.8;90.8;90.7;90.8;NaN;NaN;NaN;309;NaN
2020-07-01T12:00:00+02:00;90.8;91;90.8;91;NaN;NaN;NaN;536;NaN
2020-07-01T12:15:00+02:00;91;91;90.5;90.5;NaN;NaN;NaN;343;NaN
2020-07-01T12:30:00+02:00;90.7;90.9;90.7;90.9;NaN;NaN;NaN;156;NaN
2020-07-01T12:45:00+02:00;90.7;90.7;90.7;90.7;NaN;NaN;NaN;24;NaN
2020-07-01T13:15:00+02:00;90.5;90.7;90.5;90.7;NaN;NaN;NaN;653;NaN
2020-07-01T13:30:00+02:00;90.7;90.7;90.6;90.6;NaN;NaN;NaN;538;NaN
2020-07-01T13:45:00+02:00;90.4;90.6;90.4;90.4;NaN;NaN;NaN;553;NaN
2020-07-01T14:00:00+02:00;90.3;90.3;90.3;90.3;NaN;NaN;NaN;360;1469.5
2020-07-01T14:15:00+02:00;90.3;90.3;90.3;90.3;NaN;NaN;NaN;682;1475.25
2020-07-01T14:30:00+02:00;90.3;90.5;90.3;90.5;NaN;NaN;NaN;606;1458.15
2020-07-01T14:45:00+02:00;90.5;90.5;90.3;90.3;NaN;NaN;NaN;665;1474.9
2020-07-01T15:00:00+02:00;90.2;90.6;90.2;90.5;NaN;NaN;NaN;1944;1559.25
2020-07-01T15:15:00+02:00;90.7;90.8;90.7;90.8;NaN;NaN;NaN;375;1575.15
2020-07-01T15:30:00+02:00;90.5;90.9;90.5;90.6;NaN;NaN;NaN;678;1594.7
2020-07-01T15:45:00+02:00;90.6;90.8;90.6;90.8;NaN;NaN;NaN;403;1614.7
2020-07-01T16:00:00+02:00;90.8;91.2;90.5;91.2;NaN;NaN;NaN;4230;814.15
2020-07-01T16:15:00+02:00;91.2;91.2;91.2;91.2;NaN;NaN;NaN;213;728.85
2020-07-01T16:30:00+02:00;91;91;90.7;90.7;NaN;NaN;NaN;1720;774.7
2020-07-01T16:45:00+02:00;91;91;91;91;NaN;NaN;NaN;178;758.3
2020-07-01T17:00:00+02:00;90.7;91;90.5;90.9;NaN;NaN;NaN;239;754.8
2020-07-01T17:15:00+02:00;90.5;90.9;90.5;90.6;NaN;NaN;NaN;601;758.05
2020-07-02T09:00:00+02:00;90.6;92;90.6;91.4;NaN;NaN;NaN;772;779.5
2020-07-02T09:15:00+02:00;92;92;91.3;91.3;NaN;NaN;NaN;587;801.05
2020-07-02T09:45:00+02:00;91.2;91.3;90.9;91.3;NaN;NaN;NaN;104;805.05
2020-07-02T10:00:00+02:00;90.9;90.9;90.1;90.1;NaN;NaN;NaN;3620;953.4
2020-07-02T10:15:00+02:00;90.5;90.5;89;90;NaN;NaN;NaN;2457;1049.35
2020-07-02T10:30:00+02:00;90;90.5;90;90.5;NaN;NaN;NaN;1377;1090.55
2020-07-02T10:45:00+02:00;90.2;90.4;90.2;90.3;NaN;NaN;NaN;189;1082
2020-07-02T11:00:00+02:00;90.2;90.2;90.2;90.2;NaN;NaN;NaN;6;1048.2
2020-07-02T11:15:00+02:00;90;90;90;90;NaN;NaN;NaN;106;1023.2
2020-07-02T11:30:00+02:00;90;90.2;89.8;89.8;NaN;NaN;NaN;305;1005.2
2020-07-02T11:45:00+02:00;90.2;90.2;89.7;89.7;NaN;NaN;NaN;945;955.25
2020-07-02T12:00:00+02:00;90;90;89.5;89.5;NaN;NaN;NaN;59;939.45
2020-07-02T12:15:00+02:00;89.5;90;89.5;90;NaN;NaN;NaN;82;909.65
2020-07-02T12:30:00+02:00;90;90;89.5;89.5;NaN;NaN;NaN;2081;993.55
2020-07-02T12:45:00+02:00;89.5;89.9;89.4;89.6;NaN;NaN;NaN;389;801.5
2020-07-02T13:00:00+02:00;89.6;89.6;89.1;89.3;NaN;NaN;NaN;937;837.7
2020-07-02T13:15:00+02:00;89.4;89.6;89.4;89.6;NaN;NaN;NaN;521;777.75
2020-07-02T13:30:00+02:00;89.6;89.6;89.5;89.5;NaN;NaN;NaN;202;778.95
2020-07-02T13:45:00+02:00;89.8;90.1;89.8;90.1;NaN;NaN;NaN;933;813.65
2020-07-02T14:00:00+02:00;89.8;89.8;89.8;89.8;NaN;NaN;NaN;48;786
2020-07-02T14:15:00+02:00;89.7;89.7;89.6;89.6;NaN;NaN;NaN;103;752.55
2020-07-02T14:30:00+02:00;90;90;90;90;NaN;NaN;NaN;25;724.45
2020-07-02T14:45:00+02:00;90;90.2;90;90.2;NaN;NaN;NaN;1085;773.5
2020-07-02T15:00:00+02:00;90;90.3;90;90.3;NaN;NaN;NaN;191;602.05
2020-07-02T15:15:00+02:00;90.6;90.6;90.6;90.6;NaN;NaN;NaN;240;491.2
2020-07-02T15:30:00+02:00;90.5;91;90.5;91;NaN;NaN;NaN;709;457.8
2020-07-02T15:45:00+02:00;90.6;91.1;90.6;90.7;NaN;NaN;NaN;80;452.35
2020-07-02T16:00:00+02:00;91.1;91.3;90.7;91.3;NaN;NaN;NaN;124;458.25
2020-07-02T16:15:00+02:00;91.3;91.3;90.8;91.3;NaN;NaN;NaN;507;478.3
2020-07-02T16:30:00+02:00;91.3;91.5;91.3;91.5;NaN;NaN;NaN;204;473.25
2020-07-02T16:45:00+02:00;91.1;91.5;90.9;90.9;NaN;NaN;NaN;946;473.3
2020-07-02T17:00:00+02:00;91;91.8;91;91.8;NaN;NaN;NaN;830;511.85
2020-07-02T17:15:00+02:00;91.5;91.5;90.9;91.5;NaN;NaN;NaN;584;536.95
2020-07-03T09:00:00+02:00;91.9;91.9;91.1;91.6;NaN;NaN;NaN;1603;513.05
2020-07-03T09:15:00+02:00;91.6;92.4;91.6;92;NaN;NaN;NaN;500;518.6
2020-07-03T09:30:00+02:00;91.5;91.5;91.5;91.5;NaN;NaN;NaN;60;474.75
2020-07-03T09:45:00+02:00;91.5;91.9;91.3;91.9;NaN;NaN;NaN;198;458.6
2020-07-03T10:00:00+02:00;92;92;91.5;91.8;NaN;NaN;NaN;1003;498.65
2020-07-03T10:15:00+02:00;91.5;91.5;91.5;91.5;NaN;NaN;NaN;210;462.5
2020-07-03T10:30:00+02:00;91.7;91.7;91.1;91.5;NaN;NaN;NaN;1282;524.2
2020-07-03T10:45:00+02:00;91.6;92;91.6;92;NaN;NaN;NaN;350;536.55
2020-07-03T11:00:00+02:00;92;92;92;92;NaN;NaN;NaN;162;543.4
2020-07-03T11:15:00+02:00;91.8;91.8;91.8;91.8;NaN;NaN;NaN;37;491
2020-07-03T11:30:00+02:00;91.9;91.9;91.9;91.9;NaN;NaN;NaN;100;486.45
