time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-06-01T09:00:00+02:00;59.1;59.2;59.1;59.2;NaN;NaN;NaN;153;NaN
2020-06-01T09:15:00+02:00;59.3;60.1;59.3;60.1;NaN;NaN;NaN;2561;NaN
2020-06-01T09:30:00+02:00;60;60;59.4;59.4;NaN;NaN;NaN;6915;NaN
2020-06-01T09:45:00+02:00;59.7;60.1;59.7;59.7;NaN;NaN;NaN;7349;NaN
2020-06-01T10:15:00+02:00;59.5;59.5;59.5;59.5;NaN;NaN;NaN;398;NaN
2020-06-01T11:00:00+02:00;59.7;59.7;59.7;59.7;NaN;NaN;NaN;273;NaN
2020-06-01T12:15:00+02:00;59.9;60.2;59.7;60.1;NaN;NaN;NaN;6692;NaN
2020-06-01T12:30:00+02:00;60.5;60.5;60.2;60.5;NaN;NaN;NaN;1430;NaN
2020-06-01T12:45:00+02:00;60.3;60.6;60.3;60.3;NaN;NaN;NaN;989;NaN
2020-06-01T13:00:00+02:00;60.3;60.3;60.3;60.3;NaN;NaN;NaN;94;NaN
2020-06-01T13:15:00+02:00;60.3;60.4;60.3;60.4;NaN;NaN;NaN;1998;NaN
2020-06-01T13:30:00+02:00;60.5;60.5;60.4;60.4;NaN;NaN;NaN;1363;NaN
2020-06-01T13:45:00+02:00;60.5;60.5;60.5;60.5;NaN;NaN;NaN;284;NaN
2020-06-01T14:15:00+02:00;60.4;60.4;60.4;60.4;NaN;NaN;NaN;100;NaN
2020-06-01T14:30:00+02:00;60.4;60.4;59.8;59.8;NaN;NaN;NaN;2893;NaN
2020-06-01T14:45:00+02:00;59.9;59.9;59.9;59.9;NaN;NaN;NaN;167;NaN
2020-06-01T16:00:00+02:00;60.2;60.2;60.2;60.2;NaN;NaN;NaN;20;NaN
2020-06-01T16:15:00+02:00;59.9;60.4;59.9;60.4;NaN;NaN;NaN;11;NaN
2020-06-01T16:30:00+02:00;60.3;60.3;60.3;60.3;NaN;NaN;NaN;17;NaN
2020-06-01T16:45:00+02:00;60;60;60;60;NaN;NaN;NaN;5;1685.6
2020-06-01T17:00:00+02:00;60.1;60.3;60.1;60.3;NaN;NaN;NaN;37;1679.8
2020-06-01T17:15:00+02:00;60;60.4;60;60.4;NaN;NaN;NaN;846;1594.05
2020-06-02T09:00:00+02:00;60.3;60.4;60.3;60.4;NaN;NaN;NaN;993;1297.95
2020-06-02T09:15:00+02:00;60.4;60.4;60.4;60.4;NaN;NaN;NaN;67;933.85
2020-06-02T09:30:00+02:00;60.4;60.4;60.3;60.4;NaN;NaN;NaN;873;957.6
2020-06-02T09:45:00+02:00;60.4;60.8;60.4;60.8;NaN;NaN;NaN;836;985.75
2020-06-02T10:00:00+02:00;60.5;60.5;60.4;60.4;NaN;NaN;NaN;576;679.95
2020-06-02T10:30:00+02:00;60.3;60.4;60.1;60.1;NaN;NaN;NaN;459;631.4
2020-06-02T10:45:00+02:00;60.4;60.5;60.4;60.5;NaN;NaN;NaN;633;613.6
2020-06-02T11:00:00+02:00;60.3;60.3;60.3;60.3;NaN;NaN;NaN;313;624.55
2020-06-02T11:15:00+02:00;60.4;60.5;60.4;60.5;NaN;NaN;NaN;1190;584.15
2020-06-02T11:30:00+02:00;60.4;60.4;60.4;60.4;NaN;NaN;NaN;150;523.5
2020-06-02T11:45:00+02:00;60.4;60.4;60.4;60.4;NaN;NaN;NaN;4;509.5
2020-06-02T12:00:00+02:00;60.4;60.4;60.3;60.3;NaN;NaN;NaN;543;531.65
2020-06-02T12:15:00+02:00;60.6;60.6;60.6;60.6;NaN;NaN;NaN;36;388.8
2020-06-02T12:30:00+02:00;60.6;60.6;60.6;60.6;NaN;NaN;NaN;23;381.6
2020-06-02T12:45:00+02:00;60.4;60.6;60.3;60.6;NaN;NaN;NaN;4512;606.2
2020-06-02T13:00:00+02:00;60.6;60.7;60.3;60.3;NaN;NaN;NaN;1753;693.3
2020-06-02T13:15:00+02:00;60.7;60.7;60.7;60.7;NaN;NaN;NaN;1;692.5
2020-06-02T13:30:00+02:00;60.5;60.5;60.5;60.5;NaN;NaN;NaN;8;692.65
2020-06-02T13:45:00+02:00;60.5;60.7;60.3;60.7;NaN;NaN;NaN;1113;746.45
