time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-09-01T09:00:00+02:00;160;160;159;159.5;159.5;159.5;159.5;2497;NaN
2020-09-01T09:15:00+02:00;159.5;159.5;158.5;159.5;159.38767923526288;159.38767923526288;159.38767923526288;1269;NaN
2020-09-01T09:30:00+02:00;159.5;160;159;160;159.4267884322679;159.4267884322679;159.4267884322679;614;NaN
2020-09-01T09:45:00+02:00;160;160;156;157;158.4531728218731;158.4531728218731;158.4531728218731;5422;NaN
2020-09-01T10:00:00+02:00;156;157;153.5;153.5;158.10168132037637;158.10168132037637;158.10168132037637;1003;NaN
2020-09-01T10:15:00+02:00;153;154.5;151;153.5;156.8464633777592;156.8464633777592;156.8464633777592;3526;NaN
2020-09-01T10:30:00+02:00;151.5;153;150;150.5;155.8670862928529;155.8670862928529;155.8670862928529;2986;NaN
2020-09-01T10:45:00+02:00;151.5;152.5;150.5;151;155.25594137730036;155.25594137730036;155.25594137730036;2698;NaN
2020-09-01T11:00:00+02:00;152.5;152.5;150;151;154.71719735091676;154.71719735091676;154.71719735091676;3037;NaN
2020-09-01T11:15:00+02:00;151;153;150.5;153;154.57955431526244;154.57955431526244;154.57955431526244;1315;NaN
2020-09-01T11:30:00+02:00;152;152.5;150.5;152.5;154.2786893233449;154.2786893233449;154.2786893233449;2998;NaN
2020-09-01T11:45:00+02:00;152.5;152.5;150.5;151;154.0281632061698;154.0281632061698;154.0281632061698;2544;NaN
2020-09-01T12:00:00+02:00;151.5;153;150.5;152;153.8697263928527;153.8697263928527;153.8697263928527;2327;NaN
2020-09-01T12:15:00+02:00;152.5;152.5;150.5;152.5;153.79125407619503;153.79125407619503;153.79125407619503;1292;NaN
2020-09-01T12:30:00+02:00;151;153;151;151.5;153.66935634241392;153.66935634241392;153.66935634241392;2226;NaN
2020-09-01T12:45:00+02:00;150.5;152.5;150.5;152.5;153.64438436284382;153.64438436284382;153.64438436284382;493;NaN
2020-09-01T13:00:00+02:00;150.5;152.5;150.5;151.5;153.6342568439551;153.6342568439551;153.6342568439551;172;NaN
2020-09-01T13:15:00+02:00;151;152;150.5;152;153.5655177911828;153.5655177911828;153.5655177911828;1212;NaN
2020-09-01T13:30:00+02:00;152;152;151;151;153.53405468661305;153.53405468661305;153.53405468661305;538;NaN
2020-09-01T13:45:00+02:00;150.5;150.5;149;150;153.15481929127378;153.15481929127378;153.15481929127378;4358;2126.35
2020-09-01T14:00:00+02:00;150;151.5;149.5;149.5;153.1068384967184;153.1068384967184;153.1068384967184;694;2036.2
2020-09-01T14:15:00+02:00;149.5;151.5;149;151.5;153.03112506071818;153.03112506071818;153.03112506071818;1384;2041.95
2020-09-01T14:30:00+02:00;149.5;150.5;149.5;149.5;153.02518573218762;153.02518573218762;153.02518573218762;83;2015.4
2020-09-01T14:45:00+02:00;150.5;150.5;149.5;150.5;153.01048554063985;153.01048554063985;153.01048554063985;231;1755.85
2020-09-01T15:00:00+02:00;149.5;149.5;147;148;152.64932973477826;152.64932973477826;152.64932973477826;3619;1886.65
2020-09-01T15:15:00+02:00;150.5;150.5;145.5;145.5;152.02779300014615;152.02779300014615;152.02779300014615;6206;2020.65
2020-09-01T15:30:00+02:00;148;148;145.5;148;151.663261915222;151.663261915222;151.663261915222;4438;2093.25
2020-09-01T15:45:00+02:00;148;149.5;147;147.5;151.51735429476886;151.51735429476886;151.51735429476886;2455;2081.1
2020-09-01T16:00:00+02:00;149;151.5;145.5;148;150.6740594523892;150.6740594523892;150.6740594523892;22206;3039.55
2020-09-01T16:15:00+02:00;150;150;145;147.5;149.56719695086588;149.56719695086588;149.56719695086588;44893;5218.45
2020-09-01T16:30:00+02:00;146.5;149;145.5;147;149.47463511054352;149.47463511054352;149.47463511054352;5163;5326.7
2020-09-01T16:45:00+02:00;148;150;148;149.5;149.46172642515222;149.46172642515222;149.46172642515222;5858;5492.4
2020-09-01T17:00:00+02:00;148;150.5;148;149.5;149.45588543302964;149.45588543302964;149.45588543302964;6661;5709.1
2020-09-01T17:15:00+02:00;150.5;152;149;152;149.5915916009452;149.5915916009452;149.5915916009452;14108;6349.9
2020-09-02T09:00:00+02:00;152.5;152.5;146.5;150;149.66666666666666;149.66666666666666;149.66666666666666;8297;6653.45
2020-09-02T09:15:00+02:00;151.5;151.5;149.5;150;149.7666564218147;149.7666564218147;149.7666564218147;1464;6702
2020-09-02T09:30:00+02:00;148.5;148.5;146.5;147;148.85695041375328;148.85695041375328;148.85695041375328;5828;6984.8
2020-09-02T09:45:00+02:00;148;148;146.5;148;148.75973677941877;148.75973677941877;148.75973677941877;1203;6984.35
2020-09-02T10:00:00+02:00;148;149.5;147.5;148.5;148.690010455694;148.690010455694;148.690010455694;6162;7265.55
2020-09-02T10:15:00+02:00;149.5;150;149;149.5;148.76284592815796;148.76284592815796;148.76284592815796;2268;7161.05
2020-09-02T10:30:00+02:00;149;150;148.5;148.5;148.77278252611586;148.77278252611586;148.77278252611586;1103;7181.5
2020-09-02T10:45:00+02:00;148.5;151;148.5;151;148.8375591615957;148.8375591615957;148.8375591615957;1283;7176.45
2020-09-02T11:00:00+02:00;151;153;150;151.5;149.18489238845146;149.18489238845146;149.18489238845146;4142;7379.4
2020-09-02T11:15:00+02:00;152.5;153;152.5;153;149.3108154680452;149.3108154680452;149.3108154680452;1135;7424.6
2020-09-02T11:30:00+02:00;152.5;154;152;153.5;149.525195523774;149.525195523774;149.525195523774;1936;7340.45
2020-09-02T11:45:00+02:00;153.5;153.5;152.5;153;149.60142220474506;149.60142220474506;149.60142220474506;781;7069.2
2020-09-02T12:00:00+02:00;152.5;152.5;152;152;149.63758042332438;149.63758042332438;149.63758042332438;509;6872.75
2020-09-02T12:15:00+02:00;152;153;152;153;149.73500218880937;149.73500218880937;149.73500218880937;1200;6810
2020-09-02T12:45:00+02:00;152;153;152;152;149.74706326975235;149.74706326975235;149.74706326975235;174;5708.4
2020-09-02T13:00:00+02:00;152;152;151.5;152;149.76472247938986;149.76472247938986;149.76472247938986;320;3479.75
2020-09-02T13:15:00+02:00;152;152;151.5;151.5;149.77154002266678;149.77154002266678;149.77154002266678;136;3228.4
