time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;52.9;53.75;52.9;53.65;NaN;NaN;NaN;48560;NaN
2020-10-01T09:15:00+02:00;53.6;54.55;53.6;54.45;NaN;NaN;NaN;88296;NaN
2020-10-01T09:30:00+02:00;54.35;54.4;54.15;54.2;NaN;NaN;NaN;11450;NaN
2020-10-01T09:45:00+02:00;54.15;54.55;54.1;54.45;NaN;NaN;NaN;20894;NaN
2020-10-01T10:00:00+02:00;54.5;55.1;54.45;54.9;NaN;NaN;NaN;54112;NaN
2020-10-01T10:15:00+02:00;54.9;55;54.5;54.6;NaN;NaN;NaN;9712;NaN
2020-10-01T10:30:00+02:00;54.6;54.6;54.35;54.45;NaN;NaN;NaN;14811;NaN
2020-10-01T10:45:00+02:00;54.45;54.55;54.4;54.5;NaN;NaN;NaN;6620;NaN
2020-10-01T11:00:00+02:00;54.55;54.95;54.55;54.75;NaN;NaN;NaN;14445;NaN
2020-10-01T11:15:00+02:00;54.7;54.9;54.6;54.9;NaN;NaN;NaN;10934;NaN
2020-10-01T11:30:00+02:00;54.8;54.9;54.7;54.8;NaN;NaN;NaN;6360;NaN
2020-10-01T11:45:00+02:00;54.9;54.9;54.75;54.85;NaN;NaN;NaN;9292;NaN
2020-10-01T12:00:00+02:00;54.85;54.85;54.7;54.7;NaN;NaN;NaN;2409;NaN
2020-10-01T12:15:00+02:00;54.65;54.8;54.55;54.8;NaN;NaN;NaN;4793;NaN
2020-10-01T12:30:00+02:00;54.85;55.2;54.8;54.9;NaN;NaN;NaN;37049;NaN
2020-10-01T12:45:00+02:00;54.75;54.75;54.5;54.5;NaN;NaN;NaN;9317;NaN
2020-10-01T13:00:00+02:00;54.55;54.8;54.5;54.8;NaN;NaN;NaN;7400;NaN
2020-10-01T13:15:00+02:00;54.8;55.1;54.75;55.1;NaN;NaN;NaN;12893;NaN
2020-10-01T13:30:00+02:00;55.05;55.35;55;55.1;NaN;NaN;NaN;14324;NaN
2020-10-01T13:45:00+02:00;55;55.1;54.7;54.85;NaN;NaN;NaN;5097;19438.4
2020-10-01T14:00:00+02:00;54.85;55.1;54.85;55.1;NaN;NaN;NaN;27557;18388.25
2020-10-01T14:15:00+02:00;55.1;55.35;55.1;55.15;NaN;NaN;NaN;10542;14500.55
2020-10-01T14:30:00+02:00;55.15;55.45;55.15;55.45;NaN;NaN;NaN;12539;14555
2020-10-01T14:45:00+02:00;55.45;55.6;55.35;55.4;NaN;NaN;NaN;67343;16877.45
2020-10-01T15:00:00+02:00;55.4;55.65;55.4;55.5;NaN;NaN;NaN;16611;15002.4
2020-10-01T15:15:00+02:00;55.35;55.7;55.3;55.4;NaN;NaN;NaN;15775;15305.55
2020-10-01T15:30:00+02:00;55.4;55.45;55.2;55.3;NaN;NaN;NaN;6824;14906.2
2020-10-01T15:45:00+02:00;55.2;55.4;55;55.3;NaN;NaN;NaN;7901;14970.25
2020-10-01T16:00:00+02:00;55.25;55.35;55.2;55.35;NaN;NaN;NaN;13984;14947.2
2020-10-01T16:15:00+02:00;55.4;55.45;55.25;55.45;NaN;NaN;NaN;7524;14776.7
2020-10-01T16:30:00+02:00;55.45;55.55;55.4;55.45;NaN;NaN;NaN;7029;14810.15
