time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;75;75;74.15;74.65;NaN;NaN;NaN;39872;NaN
2020-10-01T09:15:00+02:00;74.45;74.7;74.05;74.2;NaN;NaN;NaN;31642;NaN
2020-10-01T09:30:00+02:00;74.15;74.15;73.45;73.55;NaN;NaN;NaN;22574;NaN
2020-10-01T09:45:00+02:00;73.65;73.8;73.45;73.65;NaN;NaN;NaN;6241;NaN
2020-10-01T10:00:00+02:00;73.65;73.85;73.5;73.85;NaN;NaN;NaN;8701;NaN
2020-10-01T10:15:00+02:00;73.7;73.85;73.35;73.4;NaN;NaN;NaN;6732;NaN
2020-10-01T10:30:00+02:00;73.4;73.55;73.15;73.45;NaN;NaN;NaN;16375;NaN
2020-10-01T10:45:00+02:00;73.5;73.65;73.15;73.15;NaN;NaN;NaN;8073;NaN
2020-10-01T11:00:00+02:00;73.2;73.5;73.15;73.5;NaN;NaN;NaN;4939;NaN
2020-10-01T11:15:00+02:00;73.4;73.95;73.4;73.65;NaN;NaN;NaN;9558;NaN
2020-10-01T11:30:00+02:00;73.6;73.65;73.3;73.6;NaN;NaN;NaN;13398;NaN
2020-10-01T11:45:00+02:00;73.5;73.65;73.5;73.65;NaN;NaN;NaN;2619;NaN
2020-10-01T12:00:00+02:00;73.7;74;73.7;73.9;NaN;NaN;NaN;7619;NaN
2020-10-01T12:15:00+02:00;73.95;74.05;73.8;74;NaN;NaN;NaN;5566;NaN
2020-10-01T12:30:00+02:00;74;74.05;73.75;73.75;NaN;NaN;NaN;9098;NaN
2020-10-01T12:45:00+02:00;73.85;73.9;73.75;73.9;NaN;NaN;NaN;2793;NaN
2020-10-01T13:00:00+02:00;73.7;74;73.7;73.9;NaN;NaN;NaN;14389;NaN
2020-10-01T13:15:00+02:00;73.9;73.95;73.85;73.9;NaN;NaN;NaN;17835;NaN
2020-10-01T13:30:00+02:00;73.9;73.95;73.8;73.85;NaN;NaN;NaN;21198;NaN
2020-10-01T13:45:00+02:00;73.9;74.65;73.9;74.65;NaN;NaN;NaN;16772;13299.7
2020-10-01T14:00:00+02:00;74.7;74.7;74.1;74.2;NaN;NaN;NaN;7076;11659.9
2020-10-01T14:15:00+02:00;74.1;74.1;73.8;73.95;NaN;NaN;NaN;12017;10678.65
2020-10-01T14:30:00+02:00;73.95;74.1;73.85;74.1;NaN;NaN;NaN;5127;9806.3
2020-10-01T14:45:00+02:00;74.2;74.2;73.8;73.85;NaN;NaN;NaN;15224;10255.45
2020-10-01T15:00:00+02:00;74;74.15;73.95;74.1;NaN;NaN;NaN;5185;10079.65
2020-10-01T15:15:00+02:00;74.15;74.25;73.95;74.1;NaN;NaN;NaN;6307;10058.4
2020-10-01T15:30:00+02:00;74.1;74.1;73.65;73.7;NaN;NaN;NaN;24978;10488.55
2020-10-01T15:45:00+02:00;73.75;73.85;73.65;73.75;NaN;NaN;NaN;9391;10554.45
2020-10-01T16:00:00+02:00;73.7;73.8;73.5;73.6;NaN;NaN;NaN;8048;10709.9
2020-10-01T16:15:00+02:00;73.6;73.7;73.5;73.5;NaN;NaN;NaN;9504;10707.2
2020-10-01T16:30:00+02:00;73.5;73.85;73.5;73.75;NaN;NaN;NaN;8179;10446.25
2020-10-01T16:45:00+02:00;73.7;73.7;73.35;73.4;NaN;NaN;NaN;11650;10897.8
2020-10-01T17:00:00+02:00;73.45;73.6;73.35;73.45;NaN;NaN;NaN;12660;11149.85
2020-10-01T17:15:00+02:00;73.45;73.45;73.2;73.35;NaN;NaN;NaN;23660;12054.55
2020-10-02T09:00:00+02:00;73.2;73.2;71.6;72.15;NaN;NaN;NaN;44222;13810.75
2020-10-02T09:15:00+02:00;72.15;72.3;71.8;71.85;NaN;NaN;NaN;20404;14691.3
2020-10-02T09:30:00+02:00;71.85;72.05;71.5;71.75;NaN;NaN;NaN;23220;15132.85
2020-10-02T09:45:00+02:00;71.75;71.75;71.2;71.35;NaN;NaN;NaN;7623;14622.25
2020-10-02T10:00:00+02:00;71.3;72;71.3;71.75;NaN;NaN;NaN;13828;14253.75
2020-10-02T10:15:00+02:00;71.8;72;71.75;71.8;NaN;NaN;NaN;7535;13791.9
2020-10-02T10:30:00+02:00;71.75;72.05;71.75;72;NaN;NaN;NaN;11774;14026.8
