time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;82.9;83.8;82.9;83.8;NaN;NaN;NaN;11180;NaN
2020-10-01T09:15:00+02:00;83.7;84.2;83.6;84;NaN;NaN;NaN;3730;NaN
2020-10-01T09:30:00+02:00;83.7;84;83.4;84;NaN;NaN;NaN;3860;NaN
2020-10-01T09:45:00+02:00;84.1;84.2;83.9;84.2;NaN;NaN;NaN;2220;NaN
2020-10-01T10:00:00+02:00;84.2;84.3;83.9;84.2;NaN;NaN;NaN;8360;NaN
2020-10-01T10:15:00+02:00;84.2;84.3;84;84.2;NaN;NaN;NaN;960;NaN
2020-10-01T10:30:00+02:00;84.3;84.6;84.1;84.5;NaN;NaN;NaN;12440;NaN
2020-10-01T10:45:00+02:00;84.6;85.5;84.6;85.5;NaN;NaN;NaN;6860;NaN
2020-10-01T11:00:00+02:00;85.5;85.7;85.1;85.1;NaN;NaN;NaN;8140;NaN
2020-10-01T11:15:00+02:00;85.4;85.6;85.4;85.5;NaN;NaN;NaN;4100;NaN
2020-10-01T11:30:00+02:00;85.6;86;85.5;86;NaN;NaN;NaN;10880;NaN
2020-10-01T11:45:00+02:00;86;86.5;85.9;86.3;NaN;NaN;NaN;8050;NaN
2020-10-01T12:00:00+02:00;85.9;86.2;85.4;85.4;NaN;NaN;NaN;4890;NaN
2020-10-01T12:15:00+02:00;85.4;85.5;85.1;85.5;NaN;NaN;NaN;8560;NaN
2020-10-01T12:30:00+02:00;85.7;85.9;85.7;85.7;NaN;NaN;NaN;2890;NaN
2020-10-01T12:45:00+02:00;85.9;85.9;85.7;85.9;NaN;NaN;NaN;5670;NaN
2020-10-01T13:00:00+02:00;85.9;85.9;85.5;85.8;NaN;NaN;NaN;10710;NaN
2020-10-01T13:15:00+02:00;85.8;85.8;85.5;85.7;NaN;NaN;NaN;8110;NaN
2020-10-01T13:30:00+02:00;85.5;85.9;85.5;85.7;NaN;NaN;NaN;4800;NaN
2020-10-01T13:45:00+02:00;85.7;85.9;85.7;85.9;NaN;NaN;NaN;840;6362.5
2020-10-01T14:00:00+02:00;85.9;85.9;85.7;85.8;NaN;NaN;NaN;1610;5884
