time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;8.1;8.24;8.07;8.07;NaN;NaN;NaN;17019;NaN
2020-10-01T09:15:00+02:00;8.11;8.13;7.95;8.13;NaN;NaN;NaN;21448;NaN
2020-10-01T09:30:00+02:00;8.15;8.15;8.1;8.14;NaN;NaN;NaN;3698;NaN
2020-10-01T09:45:00+02:00;8.14;8.14;7.96;7.98;NaN;NaN;NaN;7202;NaN
2020-10-01T10:00:00+02:00;7.96;8.04;7.96;8.04;NaN;NaN;NaN;871;NaN
2020-10-01T10:15:00+02:00;8.04;8.04;8.02;8.02;NaN;NaN;NaN;314;NaN
2020-10-01T10:30:00+02:00;8.05;8.08;8.03;8.08;NaN;NaN;NaN;13024;NaN
2020-10-01T10:45:00+02:00;8.1;8.1;8.05;8.05;NaN;NaN;NaN;8605;NaN
2020-10-01T11:00:00+02:00;8.05;8.07;8.03;8.06;NaN;NaN;NaN;22107;NaN
2020-10-01T11:15:00+02:00;8.02;8.02;8.01;8.01;NaN;NaN;NaN;5070;NaN
2020-10-01T11:30:00+02:00;8.06;8.06;8.04;8.04;NaN;NaN;NaN;1124;NaN
2020-10-01T11:45:00+02:00;8.02;8.03;7.98;8.03;NaN;NaN;NaN;22295;NaN
2020-10-01T12:00:00+02:00;8.03;8.04;8.03;8.04;NaN;NaN;NaN;7754;NaN
2020-10-01T12:15:00+02:00;8.03;8.03;8.02;8.02;NaN;NaN;NaN;204;NaN
2020-10-01T12:30:00+02:00;8;8.02;8;8.02;NaN;NaN;NaN;2820;NaN
2020-10-01T12:45:00+02:00;8.05;8.05;8.02;8.02;NaN;NaN;NaN;649;NaN
2020-10-01T13:00:00+02:00;8.02;8.05;8;8;NaN;NaN;NaN;5187;NaN
2020-10-01T13:15:00+02:00;8.01;8.05;8.01;8.01;NaN;NaN;NaN;355;NaN
2020-10-01T13:30:00+02:00;8.01;8.01;7.98;7.98;NaN;NaN;NaN;2912;NaN
2020-10-01T13:45:00+02:00;7.98;7.98;7.98;7.98;NaN;NaN;NaN;294;7147.6
2020-10-01T14:00:00+02:00;7.98;8;7.98;8;NaN;NaN;NaN;801;6336.7
