time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;295;295;288.6;290;NaN;NaN;NaN;3347;NaN
2020-10-01T09:15:00+02:00;289;292.4;288;289;NaN;NaN;NaN;7966;NaN
2020-10-01T09:30:00+02:00;289;290.4;286.4;290.2;NaN;NaN;NaN;3930;NaN
2020-10-01T09:45:00+02:00;290.6;291;288.8;289;NaN;NaN;NaN;3285;NaN
2020-10-01T10:00:00+02:00;288.6;288.6;287.6;288.4;NaN;NaN;NaN;1948;NaN
2020-10-01T10:15:00+02:00;288.8;289;287.6;289;NaN;NaN;NaN;1533;NaN
2020-10-01T10:30:00+02:00;289;289.2;288.6;289.2;NaN;NaN;NaN;2449;NaN
2020-10-01T10:45:00+02:00;289.2;289.4;288.2;289.4;NaN;NaN;NaN;2032;NaN
2020-10-01T11:00:00+02:00;289.2;289.2;288;288;NaN;NaN;NaN;646;NaN
2020-10-01T11:15:00+02:00;289;289;288.2;289;NaN;NaN;NaN;644;NaN
2020-10-01T11:30:00+02:00;288.6;289.6;288.6;289;NaN;NaN;NaN;624;NaN
2020-10-01T11:45:00+02:00;289;289.4;288.6;289.4;NaN;NaN;NaN;880;NaN
2020-10-01T12:00:00+02:00;288.6;289.2;288;289;NaN;NaN;NaN;2003;NaN
2020-10-01T12:15:00+02:00;287.8;287.8;286.6;286.6;NaN;NaN;NaN;1357;NaN
2020-10-01T12:30:00+02:00;287.6;288.4;287.2;288.4;NaN;NaN;NaN;1326;NaN
2020-10-01T12:45:00+02:00;288.6;288.6;287.4;288.4;NaN;NaN;NaN;366;NaN
2020-10-01T13:00:00+02:00;288.4;288.4;285.4;286.2;NaN;NaN;NaN;2473;NaN
2020-10-01T13:15:00+02:00;286.4;287.4;285.6;287;NaN;NaN;NaN;1137;NaN
2020-10-01T13:30:00+02:00;286.2;287.2;286.2;286.2;NaN;NaN;NaN;623;NaN
2020-10-01T13:45:00+02:00;287.2;288.4;286.6;287.4;NaN;NaN;NaN;2585;2057.7
2020-10-01T14:00:00+02:00;288.4;288.4;286.8;286.8;NaN;NaN;NaN;1369;1958.8
2020-10-01T14:15:00+02:00;286.8;288.4;286.8;288.2;NaN;NaN;NaN;1027;1611.85
2020-10-01T14:30:00+02:00;288.2;289.6;287.6;289.6;NaN;NaN;NaN;1803;1505.5
