time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;68.92;68.95;68.23;68.58;NaN;NaN;NaN;350004;NaN
2020-10-01T09:15:00+02:00;68.59;68.84;68.54;68.75;NaN;NaN;NaN;125493;NaN
2020-10-01T09:30:00+02:00;68.71;68.71;68.4;68.43;NaN;NaN;NaN;277615;NaN
2020-10-01T09:45:00+02:00;68.41;68.53;68.27;68.53;NaN;NaN;NaN;226174;NaN
2020-10-01T10:00:00+02:00;68.53;68.6;68.42;68.57;NaN;NaN;NaN;153550;NaN
2020-10-01T10:15:00+02:00;68.59;68.69;68.5;68.52;NaN;NaN;NaN;47710;NaN
2020-10-01T10:30:00+02:00;68.53;68.57;68.37;68.41;NaN;NaN;NaN;176220;NaN
2020-10-01T10:45:00+02:00;68.41;68.47;68.35;68.41;NaN;NaN;NaN;56306;NaN
2020-10-01T11:00:00+02:00;68.4;68.605;68.37;68.58;NaN;NaN;NaN;185535;NaN
2020-10-01T11:15:00+02:00;68.58;68.69;68.54;68.69;NaN;NaN;NaN;136046;NaN
2020-10-01T11:30:00+02:00;68.69;68.71;68.53;68.57;NaN;NaN;NaN;130336;NaN
2020-10-01T11:45:00+02:00;68.57;68.68;68.5;68.58;NaN;NaN;NaN;166400;NaN
2020-10-01T12:00:00+02:00;68.59;68.59;68.43;68.53;NaN;NaN;NaN;140019;NaN
2020-10-01T12:15:00+02:00;68.54;68.69;68.53;68.68;NaN;NaN;NaN;197901;NaN
2020-10-01T12:30:00+02:00;68.67;68.69;68.56;68.59;NaN;NaN;NaN;86831;NaN
2020-10-01T12:45:00+02:00;68.61;68.64;68.51;68.62;NaN;NaN;NaN;86325;NaN
2020-10-01T13:00:00+02:00;68.64;68.85;68.64;68.85;NaN;NaN;NaN;100686;NaN
2020-10-01T13:15:00+02:00;68.84;68.92;68.77;68.92;NaN;NaN;NaN;136548;NaN
2020-10-01T13:30:00+02:00;68.93;69.09;68.91;69.05;NaN;NaN;NaN;235428;NaN
2020-10-01T13:45:00+02:00;69.06;69.08;69;69.07;NaN;NaN;NaN;139917;157752.2
2020-10-01T14:00:00+02:00;69.08;69.11;68.95;69;NaN;NaN;NaN;141020;147303
2020-10-01T14:15:00+02:00;69.02;69.03;68.92;68.96;NaN;NaN;NaN;117703;146913.5
2020-10-01T14:30:00+02:00;68.99;69.09;68.9;69.06;NaN;NaN;NaN;188326;142449.05
2020-10-01T14:45:00+02:00;69.05;69.08;68.88;68.94;NaN;NaN;NaN;166700;139475.35
2020-10-01T15:00:00+02:00;68.91;69;68.84;68.97;NaN;NaN;NaN;250541;144324.9
2020-10-01T15:15:00+02:00;68.96;69.14;68.95;69.14;NaN;NaN;NaN;171129;150495.85
2020-10-01T15:30:00+02:00;69.13;69.21;69.03;69.2;NaN;NaN;NaN;259949;154682.3
2020-10-01T15:45:00+02:00;69.18;69.3;69.12;69.3;NaN;NaN;NaN;303723;167053.15
2020-10-01T16:00:00+02:00;69.26;69.26;68.86;69.04;NaN;NaN;NaN;304323;172992.55
2020-10-01T16:15:00+02:00;69.06;69.15;68.98;69.08;NaN;NaN;NaN;259815;179181
2020-10-01T16:30:00+02:00;69.06;69.28;69.01;69.2;NaN;NaN;NaN;263841;185856.25
2020-10-01T16:45:00+02:00;69.21;69.24;69.01;69.1;NaN;NaN;NaN;329588;194015.65
2020-10-01T17:00:00+02:00;69.12;69.21;69.03;69.21;NaN;NaN;NaN;264552;200242.3
2020-10-01T17:15:00+02:00;69.21;69.28;69.17;69.17;NaN;NaN;NaN;1741037;277399.1
2020-10-02T09:00:00+02:00;68.6;68.76;68.18;68.67;NaN;NaN;NaN;616365;303875.8
2020-10-02T09:15:00+02:00;68.68;68.96;68.64;68.795;NaN;NaN;NaN;375783;318348.7
2020-10-02T09:30:00+02:00;68.8;68.87;68.59;68.7;NaN;NaN;NaN;214490;324038.9
2020-10-02T09:45:00+02:00;68.69;68.71;68.51;68.61;NaN;NaN;NaN;194173;326920.15
2020-10-02T10:00:00+02:00;68.6;68.96;68.6;68.84;NaN;NaN;NaN;178106;324054.05
2020-10-02T10:15:00+02:00;68.83;68.96;68.79;68.93;NaN;NaN;NaN;139493;324032.85
2020-10-02T10:30:00+02:00;68.95;69.1;68.86;69.01;NaN;NaN;NaN;117339;322848.8
2020-10-02T10:45:00+02:00;69.02;69.07;68.97;69.03;NaN;NaN;NaN;246036;329265.45
2020-10-02T11:00:00+02:00;69.02;69.1;68.92;68.94;NaN;NaN;NaN;301686;334933.45
2020-10-02T11:15:00+02:00;68.95;68.98;68.79;68.83;NaN;NaN;NaN;151037;334150.3
2020-10-02T11:30:00+02:00;68.82;68.92;68.79;68.85;NaN;NaN;NaN;129017;328074.1
2020-10-02T11:45:00+02:00;68.85;68.9;68.77;68.86;NaN;NaN;NaN;90641;324049.7
2020-10-02T12:00:00+02:00;68.86;68.91;68.79;68.81;NaN;NaN;NaN;95679;315836.2
2020-10-02T12:15:00+02:00;68.79;68.82;68.53;68.68;NaN;NaN;NaN;162047;308752.4
2020-10-02T12:30:00+02:00;68.66;68.78;68.62;68.71;NaN;NaN;NaN;82537;297663.1
2020-10-02T12:45:00+02:00;68.71;68.72;68.59;68.59;NaN;NaN;NaN;76277;288486.2
2020-10-02T13:00:00+02:00;68.61;68.64;68.56;68.63;NaN;NaN;NaN;100480;280318.15
2020-10-02T13:15:00+02:00;68.63;68.63;68.56;68.62;NaN;NaN;NaN;82409;267959.2
2020-10-02T13:30:00+02:00;68.61;68.67;68.52;68.52;NaN;NaN;NaN;84069;258935.05
2020-10-02T13:45:00+02:00;68.52;68.61;68.45;68.5;NaN;NaN;NaN;130547;178410.55
2020-10-02T14:00:00+02:00;68.49;68.54;68.47;68.54;NaN;NaN;NaN;72874;151236
2020-10-02T14:15:00+02:00;68.54;68.55;68.33;68.43;NaN;NaN;NaN;118375;138365.6
2020-10-02T14:30:00+02:00;68.43;68.43;68.3;68.32;NaN;NaN;NaN;102207;132751.45
2020-10-02T14:45:00+02:00;68.29;68.31;68.17;68.19;NaN;NaN;NaN;113005;128693.05
2020-10-02T15:00:00+02:00;68.16;68.16;68.04;68.12;NaN;NaN;NaN;246520;132113.75
2020-10-02T15:15:00+02:00;68.12;68.22;68.11;68.15;NaN;NaN;NaN;137491;132013.65
2020-10-02T15:30:00+02:00;68.13;68.6;68.08;68.52;NaN;NaN;NaN;173317;134812.55
2020-10-02T15:45:00+02:00;68.51;68.55;68.41;68.52;NaN;NaN;NaN;147927;129907.1
2020-10-02T16:00:00+02:00;68.53;68.75;68.5;68.52;NaN;NaN;NaN;221172;125881.4
2020-10-02T16:15:00+02:00;68.53;68.61;68.51;68.53;NaN;NaN;NaN;149857;125822.4
2020-10-02T16:30:00+02:00;68.5;68.62;68.48;68.52;NaN;NaN;NaN;101672;124455.15
2020-10-02T16:45:00+02:00;68.5;68.56;68.38;68.47;NaN;NaN;NaN;110237;125434.95
2020-10-02T17:00:00+02:00;68.47;68.7;68.44;68.68;NaN;NaN;NaN;160784;128690.2
2020-10-02T17:15:00+02:00;68.68;68.89;68.65;68.89;NaN;NaN;NaN;1686882;204931.95
2020-10-05T09:00:00+02:00;68.99;69.9;68.8;69.73;NaN;NaN;NaN;851943;243402.25
