time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;33.8;33.82;33.6;33.8;NaN;NaN;NaN;23729;NaN
2020-10-01T09:15:00+02:00;33.74;33.88;33.68;33.8;NaN;NaN;NaN;20730;NaN
2020-10-01T09:30:00+02:00;33.78;33.78;33.66;33.74;NaN;NaN;NaN;26038;NaN
2020-10-01T09:45:00+02:00;33.7;33.86;33.7;33.78;NaN;NaN;NaN;13414;NaN
2020-10-01T10:00:00+02:00;33.74;33.78;33.7;33.76;NaN;NaN;NaN;28906;NaN
2020-10-01T10:15:00+02:00;33.78;33.82;33.76;33.78;NaN;NaN;NaN;7528;NaN
2020-10-01T10:30:00+02:00;33.72;33.72;33.48;33.48;NaN;NaN;NaN;18498;NaN
2020-10-01T10:45:00+02:00;33.5;33.5;33.36;33.4;NaN;NaN;NaN;15617;NaN
2020-10-01T11:00:00+02:00;33.44;33.64;33.44;33.62;NaN;NaN;NaN;22052;NaN
2020-10-01T11:15:00+02:00;33.58;33.72;33.58;33.68;NaN;NaN;NaN;3514;NaN
2020-10-01T11:30:00+02:00;33.66;33.66;33.58;33.58;NaN;NaN;NaN;1363;NaN
2020-10-01T11:45:00+02:00;33.58;33.66;33.42;33.52;NaN;NaN;NaN;4747;NaN
2020-10-01T12:00:00+02:00;33.44;33.5;33.4;33.44;NaN;NaN;NaN;8011;NaN
2020-10-01T12:15:00+02:00;33.44;33.5;33.44;33.5;NaN;NaN;NaN;695;NaN
2020-10-01T12:30:00+02:00;33.5;33.5;33.44;33.48;NaN;NaN;NaN;3943;NaN
2020-10-01T12:45:00+02:00;33.48;33.5;33.4;33.4;NaN;NaN;NaN;3648;NaN
2020-10-01T13:00:00+02:00;33.4;33.5;33.38;33.5;NaN;NaN;NaN;14729;NaN
2020-10-01T13:15:00+02:00;33.44;33.48;33.4;33.44;NaN;NaN;NaN;2391;NaN
2020-10-01T13:30:00+02:00;33.48;33.5;33.44;33.44;NaN;NaN;NaN;4264;NaN
2020-10-01T13:45:00+02:00;33.48;33.48;33.42;33.42;NaN;NaN;NaN;1573;11269.5
2020-10-01T14:00:00+02:00;33.48;33.48;33.24;33.24;NaN;NaN;NaN;18580;11012.05
2020-10-01T14:15:00+02:00;33.3;33.48;33.3;33.42;NaN;NaN;NaN;16576;10804.35
2020-10-01T14:30:00+02:00;33.44;33.44;33.32;33.32;NaN;NaN;NaN;802;9542.55
2020-10-01T14:45:00+02:00;33.4;33.4;33.32;33.32;NaN;NaN;NaN;21;8872.9
2020-10-01T15:00:00+02:00;33.32;33.32;33.26;33.28;NaN;NaN;NaN;10420;7948.6
2020-10-01T15:15:00+02:00;33.26;33.28;33.22;33.28;NaN;NaN;NaN;4645;7804.45
2020-10-01T15:30:00+02:00;33.28;33.32;33.28;33.28;NaN;NaN;NaN;11915;7475.3
2020-10-01T15:45:00+02:00;33.28;33.28;33.18;33.18;NaN;NaN;NaN;7129;7050.9
2020-10-01T16:00:00+02:00;33.22;33.22;33.04;33.12;NaN;NaN;NaN;30755;7486.05
2020-10-01T16:15:00+02:00;33.08;33.12;33.06;33.1;NaN;NaN;NaN;8884;7754.55
2020-10-01T16:30:00+02:00;33.14;33.22;33.14;33.2;NaN;NaN;NaN;2475;7810.15
2020-10-01T16:45:00+02:00;33.24;33.24;33.16;33.16;NaN;NaN;NaN;2633;7704.45
2020-10-01T17:00:00+02:00;33.22;33.22;33.18;33.22;NaN;NaN;NaN;5199;7563.85
2020-10-01T17:15:00+02:00;33.22;33.24;33.14;33.22;NaN;NaN;NaN;137022;14380.2
2020-10-02T09:00:00+02:00;33.08;33.08;32.54;32.54;NaN;NaN;NaN;100434;19204.75
2020-10-02T09:15:00+02:00;32.6;32.8;32.6;32.64;NaN;NaN;NaN;26144;20329.55
2020-10-02T09:30:00+02:00;32.64;32.76;32.64;32.68;NaN;NaN;NaN;9622;20074.2
2020-10-02T09:45:00+02:00;32.64;32.66;32.44;32.62;NaN;NaN;NaN;30921;21500.7
2020-10-02T10:00:00+02:00;32.54;32.66;32.54;32.54;NaN;NaN;NaN;18033;22189.15
2020-10-02T10:15:00+02:00;32.56;32.6;32.5;32.5;NaN;NaN;NaN;9990;22610
2020-10-02T10:30:00+02:00;32.58;32.58;32.46;32.5;NaN;NaN;NaN;10990;22230.5
2020-10-02T10:45:00+02:00;32.5;32.72;32.48;32.66;NaN;NaN;NaN;14518;22127.6
2020-10-02T11:00:00+02:00;32.64;32.74;32.64;32.68;NaN;NaN;NaN;8382;22506.6
2020-10-02T11:15:00+02:00;32.7;32.74;32.62;32.62;NaN;NaN;NaN;3284;22669.75
2020-10-02T11:30:00+02:00;32.64;32.64;32.56;32.56;NaN;NaN;NaN;4754;22386.45
2020-10-02T11:45:00+02:00;32.6;32.64;32.58;32.58;NaN;NaN;NaN;2598;22284.1
2020-10-02T12:00:00+02:00;32.58;32.64;32.58;32.58;NaN;NaN;NaN;4689;21922.8
2020-10-02T12:15:00+02:00;32.56;32.56;32.46;32.5;NaN;NaN;NaN;3065;21719.6
2020-10-02T12:30:00+02:00;32.46;32.5;32.46;32.48;NaN;NaN;NaN;2871;20325.4
2020-10-02T12:45:00+02:00;32.46;32.54;32.42;32.54;NaN;NaN;NaN;7916;20277
2020-10-02T13:00:00+02:00;32.52;32.64;32.52;32.64;NaN;NaN;NaN;22853;21295.9
2020-10-02T13:15:00+02:00;32.6;32.72;32.56;32.56;NaN;NaN;NaN;9705;21649.5
2020-10-02T13:30:00+02:00;32.6;32.62;32.52;32.58;NaN;NaN;NaN;11001;21939.6
2020-10-02T13:45:00+02:00;32.58;32.58;32.46;32.5;NaN;NaN;NaN;5520;15364.5
2020-10-02T14:00:00+02:00;32.5;32.52;32.46;32.46;NaN;NaN;NaN;13797;11032.65
2020-10-02T14:15:00+02:00;32.5;32.5;32.46;32.48;NaN;NaN;NaN;7202;10085.55
2020-10-02T14:30:00+02:00;32.46;32.5;32.44;32.48;NaN;NaN;NaN;16639;10436.4
2020-10-02T14:45:00+02:00;32.48;32.48;32.4;32.4;NaN;NaN;NaN;6887;9234.7
2020-10-02T15:00:00+02:00;32.44;32.44;32.32;32.34;NaN;NaN;NaN;16598;9162.95
2020-10-02T15:15:00+02:00;32.38;32.46;32.32;32.42;NaN;NaN;NaN;14426;9384.75
2020-10-02T15:30:00+02:00;32.46;32.74;32.46;32.74;NaN;NaN;NaN;7980;9234.25
2020-10-02T15:45:00+02:00;32.7;32.74;32.64;32.7;NaN;NaN;NaN;12225;9119.6
2020-10-02T16:00:00+02:00;32.72;32.8;32.7;32.7;NaN;NaN;NaN;4313;8916.15
2020-10-02T16:15:00+02:00;32.74;32.76;32.7;32.74;NaN;NaN;NaN;7431;9123.5
2020-10-02T16:30:00+02:00;32.76;32.8;32.7;32.74;NaN;NaN;NaN;21483;9959.95
2020-10-02T16:45:00+02:00;32.78;32.8;32.76;32.78;NaN;NaN;NaN;3275;9993.8
2020-10-02T17:00:00+02:00;32.78;32.88;32.74;32.88;NaN;NaN;NaN;8626;10190.65
2020-10-02T17:15:00+02:00;32.84;32.96;32.82;32.92;NaN;NaN;NaN;90137;14544.25
2020-10-05T09:00:00+02:00;33.04;33.5;33.04;33.32;NaN;NaN;NaN;82032;18502.3
2020-10-05T09:15:00+02:00;33.4;33.52;33.36;33.46;NaN;NaN;NaN;9818;18597.4
2020-10-05T09:30:00+02:00;33.4;33.52;33.4;33.44;NaN;NaN;NaN;3636;17636.55
2020-10-05T09:45:00+02:00;33.5;33.52;33.42;33.42;NaN;NaN;NaN;14210;17861.8
2020-10-05T10:00:00+02:00;33.48;33.56;33.46;33.56;NaN;NaN;NaN;23353;18479.4
2020-10-05T10:15:00+02:00;33.56;33.56;33.3;33.3;NaN;NaN;NaN;18764;19141.6
2020-10-05T10:30:00+02:00;33.3;33.44;33.3;33.32;NaN;NaN;NaN;11299;19016.7
2020-10-05T10:45:00+02:00;33.36;33.36;33.22;33.26;NaN;NaN;NaN;32202;20266.7
2020-10-05T11:00:00+02:00;33.28;33.34;33.24;33.24;NaN;NaN;NaN;8872;19878.35
2020-10-05T11:15:00+02:00;33.26;33.28;33.24;33.24;NaN;NaN;NaN;7822;19925.1
2020-10-05T11:30:00+02:00;33.22;33.24;33.18;33.24;NaN;NaN;NaN;7497;19470.05
2020-10-05T11:45:00+02:00;33.2;33.24;33.18;33.2;NaN;NaN;NaN;6802;19088.85
2020-10-05T12:00:00+02:00;33.22;33.24;33.16;33.22;NaN;NaN;NaN;18098;19594.75
2020-10-05T12:15:00+02:00;33.18;33.28;33.18;33.24;NaN;NaN;NaN;2658;19116.4
2020-10-05T12:30:00+02:00;33.24;33.24;33.18;33.22;NaN;NaN;NaN;7548;19278.15
2020-10-05T12:45:00+02:00;33.18;33.22;33.18;33.2;NaN;NaN;NaN;2550;19034.1
2020-10-05T13:00:00+02:00;33.16;33.26;33.16;33.26;NaN;NaN;NaN;7241;18322
2020-10-05T13:15:00+02:00;33.26;33.26;33.14;33.14;NaN;NaN;NaN;3394;18327.95
2020-10-05T13:30:00+02:00;33.16;33.18;33.14;33.14;NaN;NaN;NaN;5391;18166.2
2020-10-05T13:45:00+02:00;33.16;33.16;33.1;33.12;NaN;NaN;NaN;4142;13866.45
2020-10-05T14:00:00+02:00;33.1;33.18;33.1;33.18;NaN;NaN;NaN;14201;10474.9
2020-10-05T14:15:00+02:00;33.12;33.14;33.06;33.06;NaN;NaN;NaN;10820;10525
2020-10-05T14:30:00+02:00;33.12;33.14;33.12;33.14;NaN;NaN;NaN;2832;10484.8
2020-10-05T14:45:00+02:00;33.12;33.12;33.08;33.12;NaN;NaN;NaN;4468;9997.7
2020-10-05T15:00:00+02:00;33.06;33.06;32.94;33.04;NaN;NaN;NaN;17370;9698.55
2020-10-05T15:15:00+02:00;33.08;33.12;33.04;33.04;NaN;NaN;NaN;10589;9289.8
2020-10-05T15:30:00+02:00;33.08;33.1;33;33.02;NaN;NaN;NaN;15431;9496.4
2020-10-05T15:45:00+02:00;33.02;33.06;32.98;33.06;NaN;NaN;NaN;11623;8467.45
