time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;73;73.8;72.1;72.4;72.76666666666667;NaN;NaN;102110;NaN
2020-10-01T09:15:00+02:00;72.5;73.1;72.5;72.6;72.75322967206407;NaN;NaN;68960;NaN
2020-10-01T09:30:00+02:00;72.5;73.3;72.3;72.9;72.78045125355355;NaN;NaN;88060;NaN
2020-10-01T09:45:00+02:00;72.8;73;72.7;72.9;72.78869033076215;NaN;NaN;27380;NaN
2020-10-01T10:00:00+02:00;72.8;73;72.7;72.9;72.79541487269441;NaN;NaN;27040;NaN
2020-10-01T10:15:00+02:00;72.9;73;72.6;72.7;72.7926039958181;NaN;NaN;33980;NaN
2020-10-01T10:30:00+02:00;72.6;72.7;72.2;72.5;72.74328636433938;NaN;NaN;61960;NaN
2020-10-01T10:45:00+02:00;72.4;72.8;72.4;72.6;72.73529407243436;NaN;NaN;24190;NaN
2020-10-01T11:00:00+02:00;72.6;72.9;72.6;72.7;72.73517859467906;NaN;NaN;27140;NaN
2020-10-01T11:15:00+02:00;72.8;73;72.7;72.8;72.74442413282489;NaN;NaN;47920;NaN
2020-10-01T11:30:00+02:00;72.7;72.9;72.7;72.7;72.74593858572537;NaN;NaN;37170;NaN
2020-10-01T11:45:00+02:00;72.9;73.1;72.6;72.9;72.76940611641555;NaN;NaN;131720;NaN
2020-10-01T12:00:00+02:00;72.8;72.8;72.6;72.7;72.76769386511604;NaN;NaN;17140;NaN
2020-10-01T12:15:00+02:00;72.6;72.9;72.6;72.8;72.76765884877217;NaN;NaN;24520;NaN
2020-10-01T12:30:00+02:00;72.9;73;72.6;72.9;72.77222919280636;NaN;NaN;53800;NaN
2020-10-01T12:45:00+02:00;73;73;72.8;72.8;72.77422371914187;NaN;NaN;16680;NaN
2020-10-01T13:00:00+02:00;72.8;72.9;72.8;72.9;72.77679878549155;NaN;NaN;22630;NaN
2020-10-01T13:15:00+02:00;72.8;72.8;72.5;72.7;72.77044245461013;NaN;NaN;49760;NaN
2020-10-01T13:30:00+02:00;72.6;72.9;72.6;72.6;72.76738864292875;NaN;NaN;39070;NaN
2020-10-01T13:45:00+02:00;72.6;72.6;72.4;72.5;72.76091237187816;NaN;NaN;22370;46180
2020-10-01T14:00:00+02:00;72.5;72.7;72.4;72.5;72.74991447707367;NaN;NaN;46900;43419.5
2020-10-01T14:15:00+02:00;72.6;72.7;72.4;72.6;72.74303773198194;NaN;NaN;37840;41863.5
2020-10-01T14:30:00+02:00;72.6;72.7;72.5;72.7;72.73466371095051;NaN;NaN;83330;41627
2020-10-01T14:45:00+02:00;72.6;72.8;72.5;72.8;72.7339213787993;NaN;NaN;23890;41452.5
2020-10-01T15:00:00+02:00;72.7;73;72.7;72.8;72.73658137255758;NaN;NaN;30670;41634
2020-10-01T15:15:00+02:00;72.8;72.8;72.6;72.7;72.73507668283978;NaN;NaN;49170;42393.5
2020-10-01T15:30:00+02:00;72.6;72.8;72.5;72.8;72.73363332531216;NaN;NaN;51300;41860.5
2020-10-01T15:45:00+02:00;72.6;72.8;72.5;72.5;72.73118059437853;NaN;NaN;23310;41816.5
2020-10-01T16:00:00+02:00;72.5;72.8;72.4;72.6;72.72380867449944;NaN;NaN;75620;44240.5
2020-10-01T16:15:00+02:00;72.6;72.8;72.6;72.6;72.72308045977012;NaN;NaN;17370;42713
2020-10-01T16:30:00+02:00;72.7;73;72.7;72.8;72.72776927003574;NaN;NaN;60540;43881.5
2020-10-01T16:45:00+02:00;72.8;73;72.7;72.9;72.73320058230452;NaN;NaN;57930;40192
2020-10-01T17:00:00+02:00;72.8;73.1;72.7;72.8;72.73934628907004;NaN;NaN;71510;42910.5
2020-10-01T17:15:00+02:00;72.7;72.9;72.6;72.8;72.74220092493282;NaN;NaN;181200;50744.5
2020-10-02T09:00:00+02:00;72.5;74.8;72.2;74.2;73.73333333333333;NaN;NaN;542070;75158
2020-10-02T09:15:00+02:00;74.2;75.4;73.9;75.1;74.08510385756676;NaN;NaN;266730;87660.5
2020-10-02T09:30:00+02:00;75.1;75.4;74.8;74.9;74.2393544735816;NaN;NaN;157130;94385.5
2020-10-02T09:45:00+02:00;75.1;75.3;74.2;74.2;74.2916773939162;NaN;NaN;183790;101087
2020-10-02T10:00:00+02:00;74.3;74.6;74;74.6;74.3005242404637;NaN;NaN;102250;104246
2020-10-02T10:15:00+02:00;74.5;74.9;74.5;74.9;74.31726935772846;NaN;NaN;46650;105460
2020-10-02T10:30:00+02:00;74.8;75.1;74.7;75;74.33877406936735;NaN;NaN;46970;105463.5
2020-10-02T10:45:00+02:00;75;75.3;75;75.2;74.38269785640897;NaN;NaN;75390;107341
2020-10-02T11:00:00+02:00;75.1;75.2;74.8;74.85;74.39832435687744;NaN;NaN;40250;105187
2020-10-02T11:15:00+02:00;74.9;74.9;74.7;74.8;74.41320348745256;NaN;NaN;56210;106803
2020-10-02T11:30:00+02:00;74.8;75.3;74.7;75.1;74.4422616056548;NaN;NaN;74600;108999.5
2020-10-02T11:45:00+02:00;74.95;75;74.8;74.8;74.44844286123991;NaN;NaN;23530;107717.5
2020-10-02T12:00:00+02:00;74.85;75.2;74.8;75.1;74.46375093681498;NaN;NaN;43420;107323.5
2020-10-02T12:15:00+02:00;75.1;75.9;75;75.5;74.55903876366494;NaN;NaN;174170;114866.5
2020-10-02T12:30:00+02:00;75.5;75.6;75.3;75.6;74.57953035534189;NaN;NaN;40810;113126
2020-10-02T12:45:00+02:00;75.6;76.8;75.5;76.8;74.68235246290514;NaN;NaN;114400;117977.5
2020-10-02T13:00:00+02:00;76.8;77.4;76.7;77.1;74.76462249263147;NaN;NaN;71060;118503.5
2020-10-02T13:15:00+02:00;77;77.7;76.1;77.2;74.96920750805066;NaN;NaN;207470;125980.5
2020-10-02T13:30:00+02:00;77.2;78;77.1;77.9;75.12195318016178;NaN;NaN;136070;129208.5
2020-10-02T13:45:00+02:00;77.8;77.9;77.1;77.3;75.19116003401774;NaN;NaN;74170;123857
2020-10-02T14:00:00+02:00;77.3;77.8;77.1;77.8;75.2942961572771;NaN;NaN;112430;102375
2020-10-02T14:15:00+02:00;77.8;78.1;77.8;78.1;75.4798363079181;NaN;NaN;190650;98571
2020-10-02T14:30:00+02:00;78;78.2;78;78.1;75.53153414099248;NaN;NaN;55960;93512.5
2020-10-02T14:45:00+02:00;78.1;78.2;77.8;77.9;75.65010733392593;NaN;NaN;145170;91581.5
2020-10-02T15:00:00+02:00;77.9;78;77.6;77.8;75.71946658919612;NaN;NaN;99390;91438.5
2020-10-02T15:15:00+02:00;77.7;78.1;77.6;78.1;75.77555534112459;NaN;NaN;80080;93110
2020-10-02T15:30:00+02:00;78.2;78.8;78.1;78.5;75.8982080525159;NaN;NaN;150940;98308.5
2020-10-02T15:45:00+02:00;78.5;79;78.5;78.8;75.99490048989145;NaN;NaN;115530;100315.5
2020-10-02T16:00:00+02:00;78.7;78.9;78.3;78.3;76.04505534253471;NaN;NaN;70020;101804
2020-10-02T16:15:00+02:00;78.3;78.7;78.3;78.5;76.10244887644059;NaN;NaN;83720;103179.5
2020-10-02T16:30:00+02:00;78.5;78.7;78.4;78.5;76.14421965397241;NaN;NaN;62610;102580
2020-10-02T16:45:00+02:00;78.5;80.5;78.5;79.7;76.31937166844178;NaN;NaN;196530;111230
2020-10-02T17:00:00+02:00;79.7;81.7;79.6;81.5;76.725897188694;NaN;NaN;371040;127611
