time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-10-01T09:00:00+02:00;30;30;29.66;29.94;NaN;NaN;NaN;180683;NaN
2020-10-01T09:15:00+02:00;29.94;30.05;29.88;30;NaN;NaN;NaN;77879;NaN
2020-10-01T09:30:00+02:00;30;30;29.69;29.69;NaN;NaN;NaN;65315;NaN
2020-10-01T09:45:00+02:00;29.68;29.74;29.59;29.66;NaN;NaN;NaN;103614;NaN
2020-10-01T10:00:00+02:00;29.645;29.67;29.58;29.66;NaN;NaN;NaN;100982;NaN
2020-10-01T10:15:00+02:00;29.64;29.74;29.62;29.69;NaN;NaN;NaN;92349;NaN
2020-10-01T10:30:00+02:00;29.68;29.68;29.6;29.65;NaN;NaN;NaN;91827;NaN
2020-10-01T10:45:00+02:00;29.66;29.67;29.6;29.61;NaN;NaN;NaN;46589;NaN
2020-10-01T11:00:00+02:00;29.6;29.69;29.59;29.66;NaN;NaN;NaN;117760;NaN
2020-10-01T11:15:00+02:00;29.67;29.72;29.66;29.67;NaN;NaN;NaN;60751;NaN
2020-10-01T11:30:00+02:00;29.67;29.68;29.65;29.66;NaN;NaN;NaN;33165;NaN
2020-10-01T11:45:00+02:00;29.66;29.67;29.64;29.66;NaN;NaN;NaN;22922;NaN
2020-10-01T12:00:00+02:00;29.65;29.68;29.62;29.62;NaN;NaN;NaN;38215;NaN
2020-10-01T12:15:00+02:00;29.64;29.65;29.6;29.63;NaN;NaN;NaN;28766;NaN
2020-10-01T12:30:00+02:00;29.63;29.63;29.58;29.59;NaN;NaN;NaN;38010;NaN
2020-10-01T12:45:00+02:00;29.6;29.63;29.6;29.62;NaN;NaN;NaN;52518;NaN
2020-10-01T13:00:00+02:00;29.63;29.74;29.63;29.73;NaN;NaN;NaN;62150;NaN
2020-10-01T13:15:00+02:00;29.74;29.74;29.69;29.69;NaN;NaN;NaN;24677;NaN
2020-10-01T13:30:00+02:00;29.7;29.77;29.7;29.77;NaN;NaN;NaN;83821;NaN
2020-10-01T13:45:00+02:00;29.78;29.92;29.78;29.91;NaN;NaN;NaN;42212;68210.25
2020-10-01T14:00:00+02:00;29.92;29.93;29.86;29.88;NaN;NaN;NaN;69762;62664.2
2020-10-01T14:15:00+02:00;29.87;29.87;29.77;29.82;NaN;NaN;NaN;66249;62082.7
2020-10-01T14:30:00+02:00;29.84;29.87;29.82;29.87;NaN;NaN;NaN;43155;60974.7
2020-10-01T14:45:00+02:00;29.88;29.9;29.83;29.84;NaN;NaN;NaN;55828;58585.4
2020-10-01T15:00:00+02:00;29.85;29.87;29.78;29.79;NaN;NaN;NaN;95451;58308.85
2020-10-01T15:15:00+02:00;29.79;29.83;29.78;29.8;NaN;NaN;NaN;60607;56721.75
2020-10-01T15:30:00+02:00;29.79;29.89;29.75;29.82;NaN;NaN;NaN;134444;58852.6
2020-10-01T15:45:00+02:00;29.81;29.87;29.8;29.86;NaN;NaN;NaN;54189;59232.6
2020-10-01T16:00:00+02:00;29.85;29.85;29.64;29.69;NaN;NaN;NaN;130779;59883.55
2020-10-01T16:15:00+02:00;29.69;29.75;29.66;29.68;NaN;NaN;NaN;129087;63300.35
2020-10-01T16:30:00+02:00;29.68;29.75;29.64;29.72;NaN;NaN;NaN;179799;70632.05
2020-10-01T16:45:00+02:00;29.73;29.76;29.7;29.73;NaN;NaN;NaN;159840;77477.95
2020-10-01T17:00:00+02:00;29.74;29.83;29.72;29.78;NaN;NaN;NaN;174889;84311.65
2020-10-01T17:15:00+02:00;29.79;29.81;29.74;29.77;NaN;NaN;NaN;664674;116107.05
2020-10-02T09:00:00+02:00;29.42;29.46;29.13;29.22;NaN;NaN;NaN;307581;129585.6
2020-10-02T09:15:00+02:00;29.23;29.44;29.22;29.35;NaN;NaN;NaN;132458;133582.6
2020-10-02T09:30:00+02:00;29.35;29.45;29.27;29.35;NaN;NaN;NaN;93663;135158.25
2020-10-02T09:45:00+02:00;29.36;29.36;29.26;29.32;NaN;NaN;NaN;302022;149025.5
2020-10-02T10:00:00+02:00;29.36;29.53;29.36;29.48;NaN;NaN;NaN;111886;150428.75
2020-10-02T10:15:00+02:00;29.48;29.61;29.48;29.58;NaN;NaN;NaN;99452;153290.75
2020-10-02T10:30:00+02:00;29.57;29.6;29.48;29.56;NaN;NaN;NaN;30612;151333.25
2020-10-02T10:45:00+02:00;29.57;29.6;29.55;29.55;NaN;NaN;NaN;53155;150678.55
2020-10-02T11:00:00+02:00;29.55;29.55;29.48;29.52;NaN;NaN;NaN;29842;150012.9
2020-10-02T11:15:00+02:00;29.52;29.53;29.44;29.46;NaN;NaN;NaN;31308;148786.9
2020-10-02T11:30:00+02:00;29.45;29.5;29.42;29.42;NaN;NaN;NaN;86519;148340.3
2020-10-02T11:45:00+02:00;29.42;29.44;29.38;29.43;NaN;NaN;NaN;155008;153060.35
2020-10-02T12:00:00+02:00;29.43;29.48;29.4;29.4;NaN;NaN;NaN;72906;149983.45
2020-10-02T12:15:00+02:00;29.4;29.43;29.33;29.4;NaN;NaN;NaN;99101;152229.05
2020-10-02T12:30:00+02:00;29.38;29.39;29.36;29.38;NaN;NaN;NaN;12273;146303.75
2020-10-02T12:45:00+02:00;29.37;29.41;29.33;29.41;NaN;NaN;NaN;25888;141143.8
2020-10-02T13:00:00+02:00;29.43;29.45;29.36;29.39;NaN;NaN;NaN;28789;133593.3
2020-10-02T13:15:00+02:00;29.38;29.38;29.33;29.34;NaN;NaN;NaN;46986;127950.6
2020-10-02T13:30:00+02:00;29.35;29.41;29.35;29.355;NaN;NaN;NaN;22581;120335.2
2020-10-02T13:45:00+02:00;29.36;29.36;29.31;29.32;NaN;NaN;NaN;67021;90452.55
2020-10-02T14:00:00+02:00;29.33;29.33;29.19;29.26;NaN;NaN;NaN;206218;85384.4
2020-10-02T14:15:00+02:00;29.25;29.27;29.2;29.22;NaN;NaN;NaN;42144;80868.7
2020-10-02T14:30:00+02:00;29.21;29.23;29.14;29.15;NaN;NaN;NaN;72065;79788.8
2020-10-02T14:45:00+02:00;29.14;29.14;29.08;29.09;NaN;NaN;NaN;79981;68686.75
2020-10-02T15:00:00+02:00;29.09;29.09;28.99;29.03;NaN;NaN;NaN;94550;67819.95
2020-10-02T15:15:00+02:00;29.03;29.08;28.98;29.08;NaN;NaN;NaN;130128;69353.75
2020-10-02T15:30:00+02:00;29.08;29.42;29.05;29.41;NaN;NaN;NaN;87726;72209.45
2020-10-02T15:45:00+02:00;29.38;29.38;29.31;29.31;NaN;NaN;NaN;113626;75233
2020-10-02T16:00:00+02:00;29.31;29.43;29.31;29.34;NaN;NaN;NaN;94605;78471.15
2020-10-02T16:15:00+02:00;29.33;29.38;29.31;29.33;NaN;NaN;NaN;98746;81843.05
2020-10-02T16:30:00+02:00;29.33;29.4;29.32;29.33;NaN;NaN;NaN;133030;84168.6
2020-10-02T16:45:00+02:00;29.325;29.43;29.325;29.42;NaN;NaN;NaN;91775;81006.95
