time;open;high;low;close;VWAP;Upper Band;Lower Band;Volume;Volume MA
2020-08-03T09:00:00+02:00;41.55;41.55;41.55;41.55;NaN;NaN;NaN;220;NaN
2020-08-03T09:15:00+02:00;41.5;41.5;41.5;41.5;NaN;NaN;NaN;48;NaN
2020-08-03T09:30:00+02:00;41.75;41.95;41.75;41.95;NaN;NaN;NaN;40;NaN
2020-08-03T09:45:00+02:00;41.55;41.9;41.55;41.9;NaN;NaN;NaN;56;NaN
2020-08-03T10:15:00+02:00;41.9;41.9;41.9;41.9;NaN;NaN;NaN;700;NaN
2020-08-03T10:30:00+02:00;41.9;41.9;41.9;41.9;NaN;NaN;NaN;16;NaN
2020-08-03T10:45:00+02:00;41.9;41.9;41.9;41.9;NaN;NaN;NaN;12;NaN
2020-08-03T11:30:00+02:00;41.8;41.8;41.75;41.75;NaN;NaN;NaN;76;NaN
2020-08-03T12:15:00+02:00;41.8;41.9;41.7;41.75;NaN;NaN;NaN;2548;NaN
2020-08-03T12:30:00+02:00;41.8;41.85;41.7;41.85;NaN;NaN;NaN;172;NaN
2020-08-03T12:45:00+02:00;41.85;41.9;41.85;41.9;NaN;NaN;NaN;96;NaN
2020-08-03T13:15:00+02:00;41.9;42;41.9;42;NaN;NaN;NaN;744;NaN
2020-08-03T13:30:00+02:00;41.9;41.95;41.9;41.95;NaN;NaN;NaN;3060;NaN
2020-08-03T15:00:00+02:00;41.95;41.95;41.95;41.95;NaN;NaN;NaN;720;NaN
2020-08-03T15:15:00+02:00;42;42.05;41.95;41.95;NaN;NaN;NaN;3140;NaN
2020-08-03T15:30:00+02:00;42.05;42.05;42.05;42.05;NaN;NaN;NaN;1200;NaN
2020-08-03T15:45:00+02:00;42.05;42.05;42.05;42.05;NaN;NaN;NaN;640;NaN
2020-08-03T16:00:00+02:00;42.25;42.35;42.05;42.35;NaN;NaN;NaN;1160;NaN
2020-08-03T16:15:00+02:00;42.45;43.6;42.45;42.65;NaN;NaN;NaN;1388;NaN
2020-08-03T16:30:00+02:00;42.65;42.65;42.65;42.65;NaN;NaN;NaN;80;805.8
2020-08-03T16:45:00+02:00;42.65;42.65;42.25;42.45;NaN;NaN;NaN;672;828.4
2020-08-03T17:00:00+02:00;42.35;42.4;42.2;42.2;NaN;NaN;NaN;1308;891.4
2020-08-03T17:15:00+02:00;42.3;42.4;42.05;42.05;NaN;NaN;NaN;956;937.2
2020-08-04T09:00:00+02:00;42.05;42.25;42.05;42.25;NaN;NaN;NaN;88;938.8
2020-08-04T09:30:00+02:00;42.5;42.5;42.5;42.5;NaN;NaN;NaN;32;905.4
2020-08-04T10:00:00+02:00;42.4;42.4;42.4;42.4;NaN;NaN;NaN;40;906.6
2020-08-04T10:15:00+02:00;42.3;42.3;42.3;42.3;NaN;NaN;NaN;16;906.8
2020-08-04T10:30:00+02:00;42.3;42.3;42.05;42.05;NaN;NaN;NaN;552;930.6
2020-08-04T11:00:00+02:00;42;42;41.65;41.65;NaN;NaN;NaN;2000;903.2
2020-08-04T11:15:00+02:00;41.65;41.65;41.6;41.6;NaN;NaN;NaN;460;917.6
2020-08-04T11:45:00+02:00;41.55;41.55;41.55;41.55;NaN;NaN;NaN;40;914.8
2020-08-04T12:15:00+02:00;41.55;41.7;41.55;41.65;NaN;NaN;NaN;804;917.8
2020-08-04T12:30:00+02:00;41.65;41.65;41.65;41.65;NaN;NaN;NaN;96;769.6
2020-08-04T12:45:00+02:00;41.55;41.75;41.55;41.75;NaN;NaN;NaN;12;734.2
2020-08-04T13:30:00+02:00;41.55;41.55;41.55;41.55;NaN;NaN;NaN;400;597.2
2020-08-04T13:45:00+02:00;41.55;41.6;41.55;41.55;NaN;NaN;NaN;2240;649.2
2020-08-04T14:00:00+02:00;41.55;41.55;41.55;41.55;NaN;NaN;NaN;1752;704.8
2020-08-04T14:15:00+02:00;41.5;41.5;41.5;41.5;NaN;NaN;NaN;32;648.4
2020-08-04T14:45:00+02:00;41.5;41.5;41.5;41.5;NaN;NaN;NaN;356;596.8
2020-08-04T15:00:00+02:00;41.55;41.65;41.55;41.65;NaN;NaN;NaN;68;596.2
2020-08-04T15:30:00+02:00;41.65;41.65;41.65;41.65;NaN;NaN;NaN;240;574.6
2020-08-04T15:45:00+02:00;41.5;41.5;41.5;41.5;NaN;NaN;NaN;56;512
2020-08-04T16:15:00+02:00;41.55;41.55;41.5;41.55;NaN;NaN;NaN;576;493
2020-08-04T16:30:00+02:00;41.5;41.5;41.5;41.5;NaN;NaN;NaN;400;508.6
2020-08-04T16:45:00+02:00;41.55;41.6;41.55;41.6;NaN;NaN;NaN;368;525.4
